title,authors,year,doi,pdf link ,plain_summary,why_it_matters,theme_tags,audience_level,featured,open_access,data_code_links,policy_relevance,press_links,image_url,alt_text,impact_tags,citation_count,funders,region_system,methods_tags,source_url,journal,journal_abbrev,volume,issue,pages,publisher,abstract,keywords,issn,doi_url,citation_apa,study_type,sdg_tags,collaborators,lab_project,notes
Fertilization by coral-dwelling fish promotes coral growth but can exacerbate bleaching response,"Detmer, A. Raine; Cunning, Ross; Pfab, Ferdinand; Brown, Alexandra L.; Stier, Adrian C.; Nisbet, Roger M.; Moeller, Holly V.",2022,10.1016/j.jtbi.2022.111087,https://drive.google.com/open?id=1VTeIR-Zv66JOx7UVg7_cYenlwP9zxsoh&authuser=astier@ucsb.edu&usp=drive_fs,,,Coral,Research,,TRUE,,,,,,,9,,,,https://doi.org/10.1016/j.jtbi.2022.111087,Journal of Theoretical Biology,Journal of Theoretical Biology,541,,111087,Elsevier BV,"Many corals form close associations with a diverse assortment of coral-dwelling fishes and other fauna. As coral reefs around the world are increasingly threatened by mass bleaching events, it is important to understand how these biotic interactions influence corals' susceptibility to bleaching. We used dynamic energy budget modeling to explore how nitrogen excreted by coral-dwelling fish affects the physiological performance of host corals. In our model, fish presence influenced the functioning of the coral-Symbiodiniaceae symbiosis by altering nitrogen availability, and the magnitude and sign of these effects depended on environmental conditions. Although our model predicted that fish-derived nitrogen can promote coral growth, the relationship between fish presence and coral tolerance of photo-oxidative stress was non-linear. Fish excretions supported denser symbiont populations that provided protection from incident light through self-shading. However, these symbionts also used more of their photosynthetic products for their own growth, rather than sharing with the coral host, putting the coral holobiont at a higher risk of becoming carbon-limited and bleaching. The balance between the benefits of increased symbiont shading and costs of reduced carbon sharing depended on environmental conditions. Thus, while there were some scenarios under which fish presence increased corals' tolerance of light stress, fish could also exacerbate bleaching and slow or prevent subsequent recovery. We discuss how the contrast between the potentially harmful effects of fish predicted by our model and results of empirical studies may relate to key model assumptions that warrant further investigation. Overall, this study provides a foundation for future work on how coral-associated fauna influence the bioenergetics of their host corals, which in turn has implications for how these corals respond to bleaching-inducing stressors.",Coral; Coral bleaching; Coral reef; Ecology; Biology; Coral reef fish,0022-5193,https://doi.org/10.1016/j.jtbi.2022.111087,"Raine, D. A., Ross, C., Ferdinand, P., L., B. A., C., S. A., M., N. R., V., M. H. (2022.0). Fertilization by coral-dwelling fish promotes coral growth but can exacerbate bleaching response. Journal of Theoretical Biology, 541, 111087. https://doi.org/10.1016/j.jtbi.2022.111087",,,,,
Glimmers of hope in large carnivore recoveries,"Ingeman, Kurt E.; Zhao, Lily Z.; Wolf, Christopher; Williams, David R.; Ritger, Amelia L.; Ripple, William J.; Kopecky, Kai L.; Dillon, Erin M.; DiFiore, Bartholomew P.; Curtis, Joseph S.; Csik, Samantha R.; Bui, An; Stier, Adrian C.",2022,10.1038/s41598-022-13671-7,https://drive.google.com/open?authuser=astier%40ucsb.edu&id=1j7AncajkDuM-FAtl3yBUhyHUV66xXoo5&usp=drive_fs,"Abstract In the face of an accelerating extinction crisis, scientists must draw insights from successful conservation interventions to uncover promising strategies for reversing broader declines. Here, we synthesize cases of recovery from a list of 362 species of large carnivores, ecologically important species that function as terminal consumers in many ecological contexts. Large carnivores represent critical conservation targets that have experienced historical declines as a result of direct exploitation and habitat loss.",,,,,TRUE,,,,,,,34,Society for Conservation Biology,,,https://www.nature.com/articles/s41598-022-13671-7.pdf,Scientific Reports,Sci Rep,12,1,,Springer Science and Business Media LLC,"AbstractIn the face of an accelerating extinction crisis, scientists must draw insights from successful conservation interventions to uncover promising strategies for reversing broader declines. Here, we synthesize cases of recovery from a list of 362 species of large carnivores, ecologically important species that function as terminal consumers in many ecological contexts. Large carnivores represent critical conservation targets that have experienced historical declines as a result of direct exploitation and habitat loss. We examine taxonomic and geographic variation in current extinction risk and recovery indices, identify conservation actions associated with positive outcomes, and reveal anthropogenic threats linked to ongoing declines. We find that fewer than 10% of global large carnivore populations are increasing, and only 12 species (3.3%) have experienced genuine improvement in extinction risk, mostly limited to recoveries among marine mammals. Recovery is associated with species legislation enacted at national and international levels, and with management of direct exploitation. Conversely, ongoing declines are robustly linked to threats that include habitat modification and human conflict. Applying lessons from cases of large carnivore recovery will be crucial for restoring intact ecosystems and maintaining the services they provide to humans.",Carnivore; Extinction (optical mineralogy); Habitat; Ecology; Biodiversity; Legislation,2045-2322,https://doi.org/10.1038/s41598-022-13671-7,"E., I. K., Z., Z. L., Christopher, W., R., W. D., L., R. A., J., R. W., L., K. K., M., D. E., P., D. B., S., C. J., R., C. S., An, B., C., S. A. (2022.0). Glimmers of hope in large carnivore recoveries. Scientific Reports, 12(1). https://doi.org/10.1038/s41598-022-13671-7",,,,,
Increasing spillover enhances southern California spiny lobster catch along marine reserve borders,"Lenihan, Hunter S.; Fitzgerald, Sean P.; Reed, Daniel C.; Hofmeister, Jennifer K. K.; Stier, Adrian C.",2022,10.1002/ecs2.4110,https://drive.google.com/open?id=1h6m52Nzym0PJTG4kTdYVUMMIwVWS5lip&usp=drive_fs,"Abstract The conservation benefits of marine reserves are well established but their contribution to adjacent fisheries via spillover is less certain and context‐dependent. Theoretical predictions do not always match empirical evidence from individual reserves, so carefully designed studies are essential for accurately assessing spillover and its contribution to fisheries. Biomass buildup within reserves, and spillover from reserve borders, also usually takes time to develop.",,,,,TRUE,,,,,,,10,,,,https://doi.org/10.1002/ecs2.4110,Ecosphere,Ecosphere,13,6,,Wiley,"AbstractThe conservation benefits of marine reserves are well established but their contribution to adjacent fisheries via spillover is less certain and context‐dependent. Theoretical predictions do not always match empirical evidence from individual reserves, so carefully designed studies are essential for accurately assessing spillover and its contribution to fisheries. Biomass buildup within reserves, and spillover from reserve borders, also usually takes time to develop. In 2003, a network of no‐take marine reserves was established in the Northern Channel Islands (NCI) of southern California (CA) to conserve biodiversity and to eventually enhance local fisheries through spillover of larvae, juveniles, and adults. The reserve network impacted the local CA spiny lobster (Panulirus interruptus) fishery by removing about 20% of fishing grounds in the NCI. In 2008, a collaborative fisheries research effort detected substantial lobster population increases within reserves, and an indication of the possible spillover of adult lobsters across reserve borders. To estimate whether and how much populations within reserves, and spillover from reserves, have increased through time, we repeated the sampling program 10 years later in 2018 at two of the three original reserves. Scientific trapping was conducted prior to the fishing season along a spatial gradient beginning deep within the reserves to reference sites located outside (≥2 km) of reserve borders. Results showed that legal‐sized lobster abundance in traps (catch per unit effort) increased by 125%–465% deep inside reserves, and by 223%–331% at sites near to reserve borders, and by nearly 400% just outside of reserve borders over the 10‐year period, thus indicating a substantial increase in spillover across reserve borders. A similar pattern was observed in lobster biomass caught in traps at the two reserves. This study demonstrates how spillover scales with biomass buildup and that collaborative fisheries research can be used to assess the efficacy of marine reserves as fishery management tools worldwide.",Marine reserve; Spillover effect; Spiny lobster; Fishing; Fishery; Marine protected area,2150-8925,https://doi.org/10.1002/ecs2.4110,"S., L. H., P., F. S., C., R. D., K., H. J. K., C., S. A. (2022.0). Increasing spillover enhances southern California spiny lobster catch along marine reserve borders. Ecosphere, 13(6). https://doi.org/10.1002/ecs2.4110",,,,,
Detrital supply suppresses deforestation to maintain healthy kelp forest ecosystems,"Rennick, Mae; DiFiore, Bartholomew P.; Curtis, Joseph; Reed, Daniel C.; Stier, Adrian C.",2022,10.1002/ecy.3673,https://drive.google.com/open?authuser=astier%40ucsb.edu&id=1aV60WNbrmwNzmBe1ImLu0_LzXxh6MW5I&usp=drive_fs,"Abstract Herbivores can reach extraordinary abundances in many ecosystems. When herbivore abundance is high, heavy grazing can severely defoliate primary producers and, in some cases, even drive ecosystem to undergo regime shifts from a high productivity state to a denuded, low productivity state. While the phenomenon of herbivore‐driven regime shifts is well documented, we only partially understand the mechanisms underlying these events.",,Kelp,,,TRUE,,,,,,,22,"California Sea Grant, University of California, San Diego",,PCoA,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ecy.3673,Ecology,Ecology,103,5,,Wiley,"AbstractHerbivores can reach extraordinary abundances in many ecosystems. When herbivore abundance is high, heavy grazing can severely defoliate primary producers and, in some cases, even drive ecosystem to undergo regime shifts from a high productivity state to a denuded, low productivity state. While the phenomenon of herbivore‐driven regime shifts is well documented, we only partially understand the mechanisms underlying these events. Here, we combine herbivory experiments with 21 years of long‐term monitoring data of kelp forest ecosystems to test the hypothesis that herbivores drive regime shifts when herbivory exceeds primary production. To test this hypothesis, we quantified how the foraging habits of an important group of marine herbivores—sea urchins—change with increases in sea urchin biomass and trigger regime shifts to a foundation species, giant kelp (Macrocystis pyrifera). Using experiments, we quantified how the grazing capacity of urchins increases as urchin biomass increases, then we combined these estimates of urchin grazing capacity with estimates of kelp production to predict when and where urchin grazing capacity exceeded kelp production. When grazing capacity exceeded kelp production, sea urchins caused a 50‐fold reduction in giant kelp biomass. Our findings support the hypothesis that the balance between herbivory and production underlies herbivore‐driven regime shifts in Southern California kelp forests and provides insight into when and where urchins are likely to force regime shifts in kelp forest ecosystems.",Kelp forest; Kelp; Herbivore; Ecosystem; Ecology; Macrocystis pyrifera,0012-9658,https://doi.org/10.1002/ecy.3673,"Mae, R., P., D. B., Joseph, C., C., R. D., C., S. A. (2022.0). Detrital supply suppresses deforestation to maintain healthy kelp forest ecosystems. Ecology, 103(5). https://doi.org/10.1002/ecy.3673",,,,,
How much city is too much city? Biodiversity and ecosystem functioning along an urban gradient at the interface of land and sea,"Samhouri, Jameal F.; Shelton, Andrew Olaf; Williams, Gregory D.; Feist, Blake E.; Hennessey, Shannon M.; Bartz, Krista; Kelly, Ryan P.; O’Donnell, James L.; Sheer, Mindi; Stier, Adrian C.; Levin, Phillip S.",2022,10.3389/fmars.2022.931319,https://drive.google.com/open?id=1lt_EPPWaTVwVbhUY3xkb57SRm4ciYamb&usp=drive_fs,"A huge proportion of the world’s population resides in urban areas along the coast. As cities expand, the ability of coastal ecosystems to provide the benefits people derive from nature, ranging from food from fisheries to coastal defense to maritime transportation and beyond, is in question. While it is well understood that coastal development changes ecosystems, quantitative insights about how terrestrial urbanization fundamentally alters ecosystem structure and function in adjacent freshwater and downstream coastal marine habitats remain rare, though a general expectation is that impacts of terrestrial urbanization will attenuate from land to freshwater to coastal marine habitats.",,,Policy,,TRUE,,,,,,,2,,,Meta-analysis,https://www.frontiersin.org/articles/10.3389/fmars.2022.931319/pdf,Frontiers in Marine Science,Front. Mar. Sci.,9,,,Frontiers Media SA,"A huge proportion of the world’s population resides in urban areas along the coast. As cities expand, the ability of coastal ecosystems to provide the benefits people derive from nature, ranging from food from fisheries to coastal defense to maritime transportation and beyond, is in question. While it is well understood that coastal development changes ecosystems, quantitative insights about how terrestrial urbanization fundamentally alters ecosystem structure and function in adjacent freshwater and downstream coastal marine habitats remain rare, though a general expectation is that impacts of terrestrial urbanization will attenuate from land to freshwater to coastal marine habitats. Empirical assessments of these phenomena are especially important for species that rely on freshwater and coastal marine habitats at multiple points in their life cycles, including endangered and threatened Pacific salmon (Oncorhynchus spp.). We investigated associations between landscape-scale urbanization and ecosystem structure (biodiversity of epibenthic invertebrate taxa) and function (benthic net primary productivity and decomposition) in freshwater and coastal marine habitats across six pairs of more and less urbanized, coastal watersheds in Puget Sound, WA, USA, using principal components analysis, analysis of covariance, and Mantel tests. Greater upland urbanization was associated with greater reductions in freshwater biodiversity, measured as the density and evenness of epibenthic invertebrate families. In contrast and surprisingly, however, coastal marine biodiversity (measured as the density and evenness of epibenthic invertebrate families) tended to be higher at more urbanized sites, suggesting the potential role of low to moderate levels of urbanization-related disturbance in determining coastal marine biodiversity patterns. We found no statistical association between urbanization and freshwater and coastal marine ecosystem functions, estimated from changes in accumulated algal biomass on tiles (benthic net primary productivity) and loss of biomass from litter bags (decomposition). In addition, there was no evidence that changes in ecosystem structure and function with urbanization were more severe in freshwater than coastal marine habitats, as might be expected if the land-sea boundary diminished effects of landscape-scale urbanization. Our results suggest that the effects of urbanization can be complex and that attention to terrestrial, freshwater, and coastal marine systems in concert will produce more effective, ecosystem-based management.",Biodiversity; Urbanization; Ecology; Marine ecosystem; Habitat; Geography,2296-7745,https://doi.org/10.3389/fmars.2022.931319,"F., S. J., Olaf, S. A., D., W. G., E., F. B., M., H. S., Krista, B., P., K. R., L., O. J., Mindi, S., C., S. A., S., L. P. (2022.0). How much city is too much city? Biodiversity and ecosystem functioning along an urban gradient at the interface of land and sea. Frontiers in Marine Science, 9. https://doi.org/10.3389/fmars.2022.931319",,,,,
Irreversibility of regime shifts in the North Sea,"Sguotti, Camilla; Blöcker, Alexandra M.; Färber, Leonie; Blanz, Benjamin; Cormier, Roland; Diekmann, Rabea; Letschert, Jonas; Rambo, Henrike; Stollberg, Nicole; Stelzenmüller, Vanessa; Stier, Adrian C.; Möllmann, Christian",2022,10.3389/fmars.2022.945204,https://drive.google.com/open?id=1lzmygs-zbu9cSlXlRYjk7B5I1dW4leDy&usp=drive_fs,Human impacts can induce ecosystems to cross tipping points and hence unexpected and sudden changes in ecosystem services that are difficult or impossible to reverse. The world´s oceans suffer from cumulative anthropogenic pressures like overexploitation and climate change and are especially vulnerable to such regime shifts. Yet an outstanding question is whether regime changes in marine ecosystems are irreversible.,,,Policy,,TRUE,,,,https://images-provider.frontiersin.org/api/ipx/w=1200&f=png/https://www.frontiersin.org/files/Articles/945204/fmars-09-945204-HTML-r1/image_m/fmars-09-945204-g001.jpg,Frontiers | Irreversibility of regime shifts in the North Sea,,24,Bundesministerium für Bildung und Forschung,,Bayesian models,https://doi.org/10.3389/fmars.2022.945204,Frontiers in Marine Science,Front. Mar. Sci.,9,,,Frontiers Media SA,"Human impacts can induce ecosystems to cross tipping points and hence unexpected and sudden changes in ecosystem services that are difficult or impossible to reverse. The world´s oceans suffer from cumulative anthropogenic pressures like overexploitation and climate change and are especially vulnerable to such regime shifts. Yet an outstanding question is whether regime changes in marine ecosystems are irreversible. Here we first review the evidence for regime shifts in the North Sea ecosystem, one of the heaviest impacted and best studied marine ecosystems in the world. We then used catastrophe theory to show that fishing and warming have caused a previously undetected and potentially irreversible regime shift. Our study emphasizes the combined effects of local and global human impacts in driving significant ecosystem shifts and suggests that adaptation is likely the central avenue forward for maintaining services in the face of global climate change.",Regime shift; Ecosystem; Overexploitation; Marine ecosystem; Climate change; Fishing,2296-7745,https://doi.org/10.3389/fmars.2022.945204,"Camilla, S., M., B. A., Leonie, F., Benjamin, B., Roland, C., Rabea, D., Jonas, L., Henrike, R., Nicole, S., Vanessa, S., C., S. A., Christian, M. (2022.0). Irreversibility of regime shifts in the North Sea. Frontiers in Marine Science, 9. https://doi.org/10.3389/fmars.2022.945204",,,,,
Avoiding critical thresholds through effective monitoring,"Stier, Adrian C.; Essington, Timothy E.; Samhouri, Jameal F.; Siple, Margaret C.; Halpern, Benjamin S.; White, Crow; Lynham, John M.; Salomon, Anne K.; Levin, Phillip S.",2022,10.1098/rspb.2022.0526,https://drive.google.com/open?id=1h8LwgdQKDdLfnKotlaIDcY5SU2rQ6E4A&usp=drive_fs,"A major challenge in sustainability science is identifying targets that maximize ecosystem benefits to humanity while minimizing the risk of crossing critical system thresholds. One critical threshold is the biomass at which populations become so depleted that their population growth rates become negative—depensation. Here, we evaluate how the value of monitoring information increases as a natural resource spends more time near the critical threshold.",,,Research,,TRUE,,,,,,,5,Gordon and Betty Moore Foundation; Scientific Working Group; National Center for Ecological Analysis and Synthesis; James S. McDonell Foundation,,,https://www.ncbi.nlm.nih.gov/pmc/articles/9198780,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,289,1977,,The Royal Society,"A major challenge in sustainability science is identifying targets that maximize ecosystem benefits to humanity while minimizing the risk of crossing critical system thresholds. One critical threshold is the biomass at which populations become so depleted that their population growth rates become negative—depensation. Here, we evaluate how the value of monitoring information increases as a natural resource spends more time near the critical threshold. This benefit emerges because higher monitoring precision promotes higher yield and a greater capacity to recover from overharvest. We show that precautionary buffers that trigger increased monitoring precision as resource levels decline may offer a way to minimize monitoring costs and maximize profits. In a world of finite resources, improving our understanding of the trade-off between precision in estimates of population status and the costs of mismanagement will benefit stakeholders that shoulder the burden of these economic and social costs.",Sustainability; Natural resource economics; Population; Environmental economics; Natural resource; Environmental resource management,0962-8452,https://doi.org/10.1098/rspb.2022.0526,"C., S. A., E., E. T., F., S. J., C., S. M., S., H. B., Crow, W., M., L. J., K., S. A., S., L. P. (2022.0). Avoiding critical thresholds through effective monitoring. Proceedings of the Royal Society B: Biological Sciences, 289(1977). https://doi.org/10.1098/rspb.2022.0526",,,,,
Variation in disturbance to a foundation species structures the dynamics of a benthic reef community,"Detmer, A. Raine; Miller, Robert J.; Reed, Daniel C.; Bell, Tom W.; Stier, Adrian C.; Moeller, Holly V.",2021,10.1002/ecy.3304,https://drive.google.com/open?id=1AQU-MIiBqn99T_U8GGIBX3Nb8KBG6-Xk&usp=drive_fs,"Abstract Disturbance and foundation species can both have strong impacts on ecosystem structure and function, but studies of their interacting effects are hindered by the long life spans and slow growth of most foundation species. Here, we investigated the extent to which foundation species may mediate the impacts of disturbance on ecological communities, using the kelp forest ecosystem as a study system. Giant kelp ( Macrocystis pyrifera ) grows rapidly and experiences wave disturbance from winter storms.",,Coral,,,FALSE,,,,,,,15,,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ecy.3304,Ecology,Ecology,102,5,,Wiley,"AbstractDisturbance and foundation species can both have strong impacts on ecosystem structure and function, but studies of their interacting effects are hindered by the long life spans and slow growth of most foundation species. Here, we investigated the extent to which foundation species may mediate the impacts of disturbance on ecological communities, using the kelp forest ecosystem as a study system. Giant kelp (Macrocystis pyrifera) grows rapidly and experiences wave disturbance from winter storms. We developed and analyzed a model of the effects of variable storm regimes on giant kelp population dynamics and of the cascading effects on kelp‐mediated competition between benthic community members in kelp forests. Simulations of severe storm regimes resulted in a greater abundance of understory macroalgae and a lower abundance of sessile invertebrates than did milder regimes. Both the cascading effects of periodic loss of giant kelp as well as the degree to which storms directly impacted the benthos (in the form of scouring) influenced the outcome of competition between benthic community members. The model’s qualitative predictions were consistent with empirical data from a 20‐yr time series of community dynamics, suggesting that interannual variability in disturbance that affects giant kelp abundance can have strong consequences for benthic community structure. Our findings point to the value of long‐term studies in elucidating the interacting effects of disturbance and foundation species.",Kelp; Macrocystis pyrifera; Foundation species; Kelp forest; Ecology; Benthic zone,0012-9658,https://doi.org/10.1002/ecy.3304,"Raine, D. A., J., M. R., C., R. D., W., B. T., C., S. A., V., M. H. (2021.0). Variation in disturbance to a foundation species structures the dynamics of a benthic reef community. Ecology, 102(5). https://doi.org/10.1002/ecy.3304",,,,,
On the Interface of Food Webs and Spatial Ecology: The Trophic Dimension of Species–Area Relationships,"Holt, Robert D.; Gravel, Dominique; Stier, Adrian; Rosindell, James",2021,https://doi.org/10.1017/9781108569422.017,https://drive.google.com/open?id=1ZMBdWT7AmosWZ_fLywSaKhW4oFVcA5DP&usp=drive_fs,,,,,,,,,,,,,,,,,https://doi.org/10.1017/9781108569422.017,,,,,289-318,,"We review trophic biogeography theory, a growing sub-discipline in ecology that seeks to merge food web ecology with the theory of island biogeography. We start by presenting a deliberately provocative theory, extending neutral community theory to multi-trophic systems, where one does not pay attention to the details of interactions across trophic levels, but rather emphasizes the consequences of traits associated with trophic rank, such as dispersal rates. Our results suggest that the effect of trophic rank on dispersal rates is a key driver of trophic rank effects on species–area relationships. We then examine effects of trophic specialization on species–area relationships, after which we turn to the implications of trophic generalization. An important arena of recent work is elucidating the impact of top down effects in food webs on species–area relationships. Lastly, we offer insights into key avenues for future research including the impact of cross-ecosystem subsidies in driving patterns of biodiversity in heterogeneous landscapes, the need to consider how species coexistence mechanisms may shift across islands or habitat patches varying in area and isolation, and assessing the evolutionary dimension of trophic influences on species–area relationships.",Trophic level; Ecology; Biological dispersal; Trophic cascade; Biodiversity; Biology,,https://doi.org/https://doi.org/10.1017/9781108569422.017,"D., H. R., Dominique, G., Adrian, S., James, R. (2021.0). On the Interface of Food Webs and Spatial Ecology: The Trophic Dimension of Species–Area Relationships., 289-318. https://doi.org/https://doi.org/10.1017/9781108569422.017",,,,,
Effects of corallivory and coral colony density on coral growth and survival,"Kopecky, Kai L.; Cook, Dana T.; Schmitt, Russell J.; Stier, Adrian C.",2021,10.1007/s00338-021-02076-z,https://drive.google.com/open?id=15I51j8vgjIGNoo_GjOEUuH9eglDxOqgz&usp=drive_fs,"Abstract A suite of processes drive variation in coral populations in space and time, yet our understanding of how variation in coral density affects coral performance is limited. Theory predicts that reductions in density can send coral populations into a predator pit, where concentrated corallivory maintains corals at low densities. In reality, how variation in coral density alters corallivory rates is poorly resolved.",,Coral,Research,,TRUE,,,,,,,10,National Science Foundation,,Field experiment,https://link.springer.com/content/pdf/10.1007/s00338-021-02076-z.pdf,Coral Reefs,Coral Reefs,40,2,283-288,Springer Science and Business Media LLC,"AbstractA suite of processes drive variation in coral populations in space and time, yet our understanding of how variation in coral density affects coral performance is limited. Theory predicts that reductions in density can send coral populations into a predator pit, where concentrated corallivory maintains corals at low densities. In reality, how variation in coral density alters corallivory rates is poorly resolved. Here, we experimentally quantified the effects of corallivory and coral density on growth and survival of small colonies of the staghorn coral Acropora pulchra. Our findings suggest that coral density and corallivory have strong but independent effects on coral performance. In the presence of corallivores, corals suffered high but density-independent mortality. When corallivores were excluded, however, vertical extension rates of colonies increased with increasing densities. While we found no evidence for a predator pit, our results suggest that spatio-temporal variation in corallivore and coral densities can fundamentally alter population dynamics via strong effects on juvenile corals.",Coral; Biology; Ecology; Acropora; Predator; Population density,0722-4028,https://doi.org/10.1007/s00338-021-02076-z,"L., K. K., T., C. D., J., S. R., C., S. A. (2021.0). Effects of corallivory and coral colony density on coral growth and survival. Coral Reefs, 40(2), 283-288. https://doi.org/10.1007/s00338-021-02076-z",,,,,
Evidence that spillover from Marine Protected Areas benefits the spiny lobster (Panulirus interruptus) fishery in southern California,"Lenihan, Hunter S.; Gallagher, Jordan P.; Peters, Joseph R.; Stier, Adrian C.; Hofmeister, Jennifer K. K.; Reed, Daniel C.",2021,10.1038/s41598-021-82371-5,https://drive.google.com/open?id=1JGQfehS-RGz_IsffmgDAdaPC3xy22OrG&usp=drive_fs,"Abstract Marine Protected Areas (MPAs) are designed to enhance biodiversity and ecosystem services. Some MPAs are also established to benefit fisheries through increased egg and larval production, or the spillover of mobile juveniles and adults. Whether spillover influences fishery landings depend on the population status and movement patterns of target species both inside and outside of MPAs, as well as the status of the fishery and behavior of the fleet.",,Policy/Management,,,TRUE,,,,,,,66,,,Meta-analysis,https://www.nature.com/articles/s41598-021-82371-5.pdf,Scientific Reports,Sci Rep,11,1,,Springer Science and Business Media LLC,"AbstractMarine Protected Areas (MPAs) are designed to enhance biodiversity and ecosystem services. Some MPAs are also established to benefit fisheries through increased egg and larval production, or the spillover of mobile juveniles and adults. Whether spillover influences fishery landings depend on the population status and movement patterns of target species both inside and outside of MPAs, as well as the status of the fishery and behavior of the fleet. We tested whether an increase in the lobster population inside two newly established MPAs influenced local catch, fishing effort, and catch-per-unit-effort (CPUE) within the sustainable California spiny lobster fishery. We found greater build-up of lobsters within MPAs relative to unprotected areas, and greater increases in fishing effort and total lobster catch, but not CPUE, in fishing zones containing MPAs vs. those without MPAs. Our results show that a 35% reduction in fishing area resulting from MPA designation was compensated for by a 225% increase in total catch after 6-years, thus indicating at a local scale that the trade-off of fishing ground for no-fishing zones benefitted the fishery.",Marine protected area; Fishery; Fishing; Spiny lobster; Spillover effect; Marine reserve,2045-2322,https://doi.org/10.1038/s41598-021-82371-5,"S., L. H., P., G. J., R., P. J., C., S. A., K., H. J. K., C., R. D. (2021.0). Evidence that spillover from Marine Protected Areas benefits the spiny lobster (Panulirus interruptus) fishery in southern California. Scientific Reports, 11(1). https://doi.org/10.1038/s41598-021-82371-5",,,,,
Perception and Conflict in Conservation: The Rashomon Effect,"Levin, Phillip S; Gray, Steven A; Möllmann, Christian; Stier, Adrian C",2021,10.1093/biosci/biaa117,https://drive.google.com/open?id=1iOnkG-A1jkIuBSybyqtSBzEZgXho9GKG&usp=drive_fs,"Abstract Conflict is a common feature in conservation and resource management. Environmental conflicts are frequently attributed to differences in values; however, variability in the perception of facts, rooted in social and cultural differences also underlies conflicts. Such differences in perception have been termed the Rashomon effect after the Kurosawa film.",,,Policy,,FALSE,,,,,,,22,,,,http://academic.oup.com/bioscience/article-pdf/71/1/64/35479977/biaa117.pdf,BioScience,,71,1,64-72,Oxford University Press (OUP),"AbstractConflict is a common feature in conservation and resource management. Environmental conflicts are frequently attributed to differences in values; however, variability in the perception of facts, rooted in social and cultural differences also underlies conflicts. Such differences in perception have been termed the Rashomon effect after the Kurosawa film. In the present article, we explore a conservation Rashomon effect—a phenomenon that results from a combination of differences in perspective, plausible alternative perspectives of a conservation issue, and the absence of evidence to elevate one perspective above others. As a remedy to the Rashomon effect, policy-makers have turned to scientists as honest brokers who share a common environmental reality. We evaluate this supposition and suggest that scientists, themselves, display Rashomon effects. We suggest that Rashomon effects can be reduced by acknowledging the plurality of reality, embracing epistemic pluralism, and prioritizing an inclusive process of resource management.",Perception; Pluralism (philosophy); Phenomenon; Perspective (graphical); Resource (disambiguation); Social psychology,0006-3568,https://doi.org/10.1093/biosci/biaa117,"S, L. P., A, G. S., Christian, M., C, S. A. (2021.0). Perception and Conflict in Conservation: The Rashomon Effect. BioScience, 71(1), 64-72. https://doi.org/10.1093/biosci/biaa117",,,,,
Ecological impacts of an invasive mesopredator do not differ from those of a native mesopredator: lionfish in Caribbean Panama,"Samhouri, Jameal F.; Stier, Adrian C.",2021,10.1007/s00338-021-02132-8,https://drive.google.com/open?id=1DOXpn6YWBxrGjDXRZr1x7M9uOv79TgXP&usp=drive_fs,"Abstract The impacts of invasive lionfish ( Pterois volitans/miles ) on native coral reef populations in the Western Atlantic Ocean and Caribbean Sea can be enormous. However, how much lionfish differ from native predators and whether their effects outweigh the abundant mesopredators that occupy many reefs invite continued examination. Here, we present empirical evidence from Caribbean Panama and beyond suggesting that lionfish are less abundant than native mesopredators.",,Coral,Research,,TRUE,,,,,,,8,,,,https://link.springer.com/content/pdf/10.1007/s00338-021-02132-8.pdf,Coral Reefs,Coral Reefs,40,5,1593-1600,Springer Science and Business Media LLC,"AbstractThe impacts of invasive lionfish (Pterois volitans/miles) on native coral reef populations in the Western Atlantic Ocean and Caribbean Sea can be enormous. However, how much lionfish differ from native predators and whether their effects outweigh the abundant mesopredators that occupy many reefs invite continued examination. Here, we present empirical evidence from Caribbean Panama and beyond suggesting that lionfish are less abundant than native mesopredators. Furthermore, we show that their direct impacts on survivorship and size distributions of one native prey species are similar to those of a native mesopredator. These results support calls for lionfish management that considers evolving local ecological and social dynamics, including prey community composition, the roles of native mesopredators, and regional goals for conservation and fisheries. Recognition of regional context creates the potential for synergies between conservation actions aimed both at the invasion and other consequential problems such as overexploitation and climate change.",Mesopredator release hypothesis; Coral reef; Reef; Fishery; Apex predator; Ecology,0722-4028,https://doi.org/10.1007/s00338-021-02132-8,"F., S. J., C., S. A. (2021.0). Ecological impacts of an invasive mesopredator do not differ from those of a native mesopredator: lionfish in Caribbean Panama. Coral Reefs, 40(5), 1593-1600. https://doi.org/10.1007/s00338-021-02132-8",,,,,
