title,authors,year,journal,journal_abbrev,doi,doi_url,pdf_link,abstract,keywords,plain_summary,why_it_matters,methods_tags,theme_tags,funders,citation_apa,pdf_status,altmetric_link,altmetric_badge,image_url,graphical_abstract_url,media_links
Evidence that spillover from Marine Protected Areas benefits the spiny lobster (Panulirus interruptus) fishery in southern California,"Lenihan, H. S.; Gallagher, J. P.; Peters, J. R.; Stier, A. C.; Hofmeister, J. K. K.; Reed, D. C.",2021,Scientific Reports,SCI REP,10.1038/s41598-021-82371-5,https://doi.org/10.1038/s41598-021-82371-5,https://drive.google.com/file/d/1JGQfehS-RGz_IsffmgDAdaPC3xy22OrG/view,"AbstractMarine Protected Areas (MPAs) are designed to enhance biodiversity and ecosystem services. Some MPAs are also established to benefit fisheries through increased egg and larval production, or the spillover of mobile juveniles and adults. Whether spillover influences fishery landings depend on the population status and movement patterns of target species both inside and outside of MPAs, as well as the status of the fishery and behavior of the fleet. We tested whether an increase in the lobster population inside two newly established MPAs influenced local catch, fishing effort, and catch-per-unit-effort (CPUE) within the sustainable California spiny lobster fishery. We found greater build-up of lobsters within MPAs relative to unprotected areas, and greater increases in fishing effort and total lobster catch, but not CPUE, in fishing zones containing MPAs vs. those without MPAs. Our results show that a 35% reduction in fishing area resulting from MPA designation was compensated for by a 225% increase in total catch after 6-years, thus indicating at a local scale that the trade-off of fishing ground for no-fishing zones benefitted the fishery.",Marine protected area; Fishery; Fishing; Spiny lobster; Spillover effect; Marine reserve,"Abstract Marine Protected Areas (MPAs) are designed to enhance biodiversity and ecosystem services. Some MPAs are also established to benefit fisheries through increased egg and larval production, or the spillover of mobile juveniles and adults. Whether spillover influences fishery landings depend on the population status and movement patterns of target species both inside and outside of MPAs, as well as the status of the fishery and behavior of the fleet.",,,,,"Lenihan, H. S., Gallagher, J. P., Peters, J. R., Stier, A. C., Hofmeister, J. K. K., & Reed, D. C. (2021). Evidence that spillover from Marine Protected Areas benefits the spiny lobster (Panulirus interruptus) fishery in southern California. Scientific Reports. https://doi.org/10.1038/s41598-021-82371-5",present,https://www.altmetric.com/details.php?doi=10.1038/s41598-021-82371-5,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1038/s41598-021-82371-5"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Perception and Conflict in Conservation: The Rashomon Effect,"Levin, P. S.; Gray, S. A.; Möllmann, C.; Stier, A. C.",2021,BioScience,,10.1093/biosci/biaa117,https://doi.org/10.1093/biosci/biaa117,https://drive.google.com/file/d/1iOnkG-A1jkIuBSybyqtSBzEZgXho9GKG/view,"AbstractConflict is a common feature in conservation and resource management. Environmental conflicts are frequently attributed to differences in values; however, variability in the perception of facts, rooted in social and cultural differences also underlies conflicts. Such differences in perception have been termed the Rashomon effect after the Kurosawa film. In the present article, we explore a conservation Rashomon effect—a phenomenon that results from a combination of differences in perspective, plausible alternative perspectives of a conservation issue, and the absence of evidence to elevate one perspective above others. As a remedy to the Rashomon effect, policy-makers have turned to scientists as honest brokers who share a common environmental reality. We evaluate this supposition and suggest that scientists, themselves, display Rashomon effects. We suggest that Rashomon effects can be reduced by acknowledging the plurality of reality, embracing epistemic pluralism, and prioritizing an inclusive process of resource management.",Perception; Pluralism (philosophy); Phenomenon; Perspective (graphical); Resource (disambiguation); Social psychology,"Abstract Conflict is a common feature in conservation and resource management. Environmental conflicts are frequently attributed to differences in values; however, variability in the perception of facts, rooted in social and cultural differences also underlies conflicts. Such differences in perception have been termed the Rashomon effect after the Kurosawa film.",,,,,"Levin, P. S., Gray, S. A., Möllmann, C., & Stier, A. C. (2021). Perception and Conflict in Conservation: The Rashomon Effect. BioScience. https://doi.org/10.1093/biosci/biaa117",present,https://www.altmetric.com/details.php?doi=10.1093/biosci/biaa117,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1093/biosci/biaa117"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Ecological impacts of an invasive mesopredator do not differ from those of a native mesopredator: lionfish in Caribbean Panama,"Samhouri, J. F.; Stier, A. C.",2021,Coral Reefs,CORAL REEFS,10.1007/s00338-021-02132-8,https://doi.org/10.1007/s00338-021-02132-8,https://drive.google.com/file/d/1DOXpn6YWBxrGjDXRZr1x7M9uOv79TgXP/view,"AbstractThe impacts of invasive lionfish (Pterois volitans/miles) on native coral reef populations in the Western Atlantic Ocean and Caribbean Sea can be enormous. However, how much lionfish differ from native predators and whether their effects outweigh the abundant mesopredators that occupy many reefs invite continued examination. Here, we present empirical evidence from Caribbean Panama and beyond suggesting that lionfish are less abundant than native mesopredators. Furthermore, we show that their direct impacts on survivorship and size distributions of one native prey species are similar to those of a native mesopredator. These results support calls for lionfish management that considers evolving local ecological and social dynamics, including prey community composition, the roles of native mesopredators, and regional goals for conservation and fisheries. Recognition of regional context creates the potential for synergies between conservation actions aimed both at the invasion and other consequential problems such as overexploitation and climate change.",Mesopredator release hypothesis; Coral reef; Reef; Fishery; Apex predator; Ecology,"Abstract The impacts of invasive lionfish ( Pterois volitans/miles ) on native coral reef populations in the Western Atlantic Ocean and Caribbean Sea can be enormous. However, how much lionfish differ from native predators and whether their effects outweigh the abundant mesopredators that occupy many reefs invite continued examination. Here, we present empirical evidence from Caribbean Panama and beyond suggesting that lionfish are less abundant than native mesopredators.",,,coral reefs,,"Samhouri, J. F. & Stier, A. C. (2021). Ecological impacts of an invasive mesopredator do not differ from those of a native mesopredator: lionfish in Caribbean Panama. Coral Reefs. https://doi.org/10.1007/s00338-021-02132-8",present,https://www.altmetric.com/details.php?doi=10.1007/s00338-021-02132-8,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1007/s00338-021-02132-8"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Variation in herbivore grazing behavior across Caribbean reef sites,"Wilson, M. W.; Gaines, S. D.; Stier, A. C.; Halpern, B. S.",2021,Marine Biology,MAR BIOL,10.1007/s00227-021-03844-9,https://doi.org/10.1007/s00227-021-03844-9,https://drive.google.com/file/d/1A9mev7M8cI1PhYV-daLPqISci8eVQY-b/view,"AbstractHerbivorous fish can increase coral growth and survival by grazing down algal competitors. With coral reefs in global decline, maintaining adequate herbivory has become a primary goal for many managers. However, herbivore biomass targets assume grazing behavior is consistent across different reef systems, even though relatively few have been studied. We document grazing behavior of two scarid species in Antigua, Barbuda, and Bonaire. Our analyses show significant differences in intraspecific feeding rates, time spent grazing, and intensity of grazing across sites, which may alter the ecological impact of a given scarid population. We suggest several hypothesized mechanisms for these behavioral variations that would benefit from explicit testing in future research. As managers set targets to enhance herbivory on reefs, it is critical that we understand potential differences in scarid grazing impact. Our findings demonstrate the variability of grazing behavior across different reef sites and call for further investigation of the drivers and ecological implications of these inconsistencies.",Grazing; Herbivore; Reef; Biology; Coral reef; Ecology,"Abstract Herbivorous fish can increase coral growth and survival by grazing down algal competitors. With coral reefs in global decline, maintaining adequate herbivory has become a primary goal for many managers. However, herbivore biomass targets assume grazing behavior is consistent across different reef systems, even though relatively few have been studied.",,consumer-resource,coral reefs,National Science Foundation Graduate Research Fellowship Program; Schmidt Research Accelerator Award,"Wilson, M. W., Gaines, S. D., Stier, A. C., & Halpern, B. S. (2021). Variation in herbivore grazing behavior across Caribbean reef sites. Marine Biology. https://doi.org/10.1007/s00227-021-03844-9",present,https://www.altmetric.com/details.php?doi=10.1007/s00227-021-03844-9,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1007/s00227-021-03844-9"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Integrating oceans into climate policy: Any green new deal needs a splash of blue,"Dundas, S. J.; Levine, A. S.; Lewison, R. L.; Doerr, A. N.; White, C.; Galloway, A. W. E.; Garza, C.; Hazen, E. L.; Padilla‐gamiño, J.; Samhouri, J. F.; Spalding, A.; Stier, A.; White, J. W.",2020,Conservation Letters,CONSERVATION LETTERS,10.1111/conl.12716,https://doi.org/10.1111/conl.12716,https://drive.google.com/file/d/1HOprjkpdM2JMnZ9k_YpqJYdk7bGYNl_v/view,"AbstractRecent warnings from scientists suggest there is limited time to enact policies to avert wide‐ranging ecological and social damage from climate change. In the United States, discussions about comprehensive national policies to avert climate change have begun, with “Green New Deal” proposals and climate plans put forth by members of Congress and presidential candidates. Oceans are largely absent or separate from these nascent policy proposals. Here, we highlight a policy framework to develop terrestrial and ocean‐integrated policies that can complement and enhance terrestrial‐focused initiatives focused on four specific sectors: 1) energy; 2) transportation; 3) food security; and 4) habitat restoration. Given political friction and constrained budgets, an integrated policy framework offers greater potential to achieve a portfolio of mitigation and adaptation goals in a cost‐effective manner, beyond what could be realized with marine or terrestrial policy solutions alone.",Climate change; Portfolio; Environmental resource management; Climate policy; Business; Politics,"Abstract Recent warnings from scientists suggest there is limited time to enact policies to avert wide‐ranging ecological and social damage from climate change. In the United States, discussions about comprehensive national policies to avert climate change have begun, with “Green New Deal” proposals and climate plans put forth by members of Congress and presidential candidates. Oceans are largely absent or separate from these nascent policy proposals.",,,restoration,,"Dundas, S. J., Levine, A. S., Lewison, R. L., Doerr, A. N., White, C., Galloway, A. W. E., Garza, C., Hazen, E. L., Padilla‐gamiño, J., Samhouri, J. F., Spalding, A., Stier, A., & White, J. W. (2020). Integrating oceans into climate policy: Any green new deal needs a splash of blue. Conservation Letters. https://doi.org/10.1111/conl.12716",present,https://www.altmetric.com/details.php?doi=10.1111/conl.12716,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1111/conl.12716"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Foundation species promote community stability by increasing diversity in a giant kelp forest,"Lamy, T.; Koenigs, C.; Holbrook, S. J.; Miller, R. J.; Stier, A. C.; Reed, D. C.",2020,Ecology,ECOLOGY,10.1002/ecy.2987,https://doi.org/10.1002/ecy.2987,https://drive.google.com/file/d/19RVogu8m9SGTr4DzsUjx72WPab0p-gQN/view,"AbstractFoundation species structure communities, promote biodiversity, and stabilize ecosystem processes by creating locally stable environmental conditions. Despite their critical importance, the role of foundation species in stabilizing natural communities has seldom been quantified. In theory, the stability of a foundation species should promote community stability by enhancing species richness, altering the population fluctuations of individual species, or both. Here we tested the hypothesis that the stability of a marine foundation species, the giant kelp Macrocystis pyrifera, increased the stability of the aggregate biomass of a phylogenetically diverse assemblage of understory algae and sessile invertebrates that compete for space beneath the giant kelp canopy. To achieve this goal, we analyzed an 18‐yr time series of the biomass of giant kelp and its associated benthic community collected from 32 plots distributed among nine shallow reefs in the Santa Barbara Channel, USA. We showed that the stability of understory algae and sessile invertebrates was positively and indirectly related to the stability of giant kelp, which primarily resulted from giant kelp's direct positive association with species richness. The stability of all community types was positively related to species richness via increased species stability and species asynchrony. The stabilizing effects of richness were three to four times stronger when algae and invertebrates were considered separately rather than in combination. Our finding that diversity–stability relationships were stronger in communities consisting of species with similar resource requirements suggests that competition for shared resources rather than differential responses to environmental conditions played a more important role in stabilizing the community. Increasing threats to structure‐forming foundation species worldwide necessitates a detailed understanding of how they influence their associated community. This study is among the first to show that dampened temporal fluctuations in the biomass of a foundation species is an important determinant of the stability of the complex communities it supports.",Foundation species; Species richness; Kelp; Ecology; Understory; Kelp forest,"Abstract Foundation species structure communities, promote biodiversity, and stabilize ecosystem processes by creating locally stable environmental conditions. Despite their critical importance, the role of foundation species in stabilizing natural communities has seldom been quantified. In theory, the stability of a foundation species should promote community stability by enhancing species richness, altering the population fluctuations of individual species, or both.",,,coral reefs; kelp forests,National Aeronautics and Space Administration; National Science Foundation; Bureau of Ocean Energy Management,"Lamy, T., Koenigs, C., Holbrook, S. J., Miller, R. J., Stier, A. C., & Reed, D. C. (2020). Foundation species promote community stability by increasing diversity in a giant kelp forest. Ecology. https://doi.org/10.1002/ecy.2987",present,https://www.altmetric.com/details.php?doi=10.1002/ecy.2987,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1002/ecy.2987"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Spatial variation in exploited metapopulations obscures risk of collapse,"Okamoto, D. K.; Hessing‐lewis, M.; Samhouri, J. F.; Shelton, A. O.; Stier, A.; Levin, P. S.; Salomon, A. K.",2020,Ecological Applications,ECOLOGICAL APPLICATIONS,10.1002/eap.2051,https://doi.org/10.1002/eap.2051,https://drive.google.com/file/d/15E1ewttqQ9n5iUcekIEA7UOOIX1hT4gp/view,"AbstractUnanticipated declines among exploited species have commonly occurred despite harvests that appeared sustainable prior to collapse. This is particularly true in the oceans where spatial scales of management are often mismatched with spatially complex metapopulations. We explore causes, consequences, and potential solutions for spatial mismatches in harvested metapopulations in three ways. First, we generate novel theory illustrating when and how harvesting metapopulations increases spatial variability and in turn masks local‐scale volatility. Second, we illustrate why spatial variability in harvested metapopulations leads to negative consequences using an empirical example of a Pacific herring metapopulation. Finally, we construct a numerical management strategy evaluation model to identify and highlight potential solutions for mismatches in spatial scale and spatial variability. Our results highlight that spatial complexity can promote stability at large scales, however, ignoring spatial complexity produces cryptic and negative consequences for people and animals that interact with resources at small scales. Harvesting metapopulations magnifies spatial variability, which creates discrepancies between regional and local trends while increasing risk of local population collapses. Such effects asymmetrically impact locally constrained fishers and predators, which are more exposed to risks of localized collapses. Importantly, we show that dynamically optimizing harvest can minimize local risk without sacrificing yield. Thus, multiple nested scales of management may be necessary to avoid cryptic collapses in metapopulations and the ensuing ecological, social, and economic consequences.",Metapopulation; Spatial ecology; Ecology; Spatial variability; Spatial heterogeneity; Temporal scales,"Abstract Unanticipated declines among exploited species have commonly occurred despite harvests that appeared sustainable prior to collapse. This is particularly true in the oceans where spatial scales of management are often mismatched with spatially complex metapopulations. We explore causes, consequences, and potential solutions for spatial mismatches in harvested metapopulations in three ways.",,,,,"Okamoto, D. K., Hessing‐lewis, M., Samhouri, J. F., Shelton, A. O., Stier, A., Levin, P. S., & Salomon, A. K. (2020). Spatial variation in exploited metapopulations obscures risk of collapse. Ecological Applications. https://doi.org/10.1002/eap.2051",present,https://www.altmetric.com/details.php?doi=10.1002/eap.2051,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1002/eap.2051"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
"Fishing, environment, and the erosion of a population portfolio","Stier, A. C.; Olaf shelton, A.; Samhouri, J. F.; Feist, B. E.; Levin, P. S.",2020,Ecosphere,ECOSPHERE,10.1002/ecs2.3283,https://doi.org/10.1002/ecs2.3283,https://drive.google.com/file/d/1yeMMwIsfA8TP9KnUPsA4j41mT9YJCu0q/view,"AbstractMany organisms exhibit tremendous fluctuations in population abundance and experience unexpected collapse. Conservationists seeking to minimize region‐wide variability in resources and reduce extinction risk often seek to preserve a metapopulation portfolio of spatially asynchronous subpopulations connected by dispersal. However, portfolio properties are not necessarily static, and the erosion of a portfolio can fundamentally alter the population dynamics and services a species provides. In the Northeast Pacific, a portfolio of spatially asynchronous herring populations has historically provided regional reliability of herring to mobile predators and commercial fishermen as well as local subsistence and ceremonial harvest. Here, we fit a mechanistic time‐series model to herring spawn and catch records from 1950 to 2015 to quantify how population growth, climate, and fishing have contributed to a major shift in the herring portfolio over time. We document the erosion of the herring portfolio and a severe decline in herring population growth. Commercial harvest historically played a key role in herring dynamics, hovering around typical annual exploitation rates (15%) at the archipelago scale, but local harvest rates were much higher when fishing occurred (as high as 65%). Additionally, the Pacific Decadal Oscillation and population growth had equally strong effects on local and regional herring population dynamics. Our results highlight how spatially structured populations can undergo major shifts following disturbance and emphasize how ecological systems do not always rapidly recover and provide services following disturbance. Developing herring management strategies at a finer scale may ensure greater regional resource reliability by recovering previous levels of spatial population asynchrony. However, doing so may require higher implementation and monitoring costs in order to yield higher ecological, social, and economic benefits. Such place‐based solutions that match the spatial scale of governance to the spatial scale of ecological dynamics have the potential to improve future management and conservation in an increasingly dynamic world.",Herring; Population; Population growth; Biological dispersal; Geography; Ecology,"Abstract Many organisms exhibit tremendous fluctuations in population abundance and experience unexpected collapse. Conservationists seeking to minimize region‐wide variability in resources and reduce extinction risk often seek to preserve a metapopulation portfolio of spatially asynchronous subpopulations connected by dispersal. However, portfolio properties are not necessarily static, and the erosion of a portfolio can fundamentally alter the population dynamics and services a species provides.",,,,Gordon and Betty Moore Foundation,"Stier, A. C., Olaf shelton, A., Samhouri, J. F., Feist, B. E., & Levin, P. S. (2020). Fishing, environment, and the erosion of a population portfolio. Ecosphere. https://doi.org/10.1002/ecs2.3283",present,https://www.altmetric.com/details.php?doi=10.1002/ecs2.3283,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1002/ecs2.3283"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Ecological impacts of human‐induced animal behaviour change,"Wilson, M. W.; Ridlon, A. D.; Gaynor, K. M.; Gaines, S. D.; Stier, A. C.; Halpern, B. S.",2020,Ecology Letters,ECOLOGY LETTERS,10.1111/ele.13571,https://doi.org/10.1111/ele.13571,https://drive.google.com/file/d/1b4UqrHI4Q-SlQCaghSEJs7A0ZHmV5YY5/view,"AbstractA growing body of literature has documented myriad effects of human activities on animal behaviour, yet the ultimate ecological consequences of these behavioural shifts remain largely uninvestigated. While it is understood that, in the absence of humans, variation in animal behaviour can have cascading effects on species interactions, community structure and ecosystem function, we know little about whether the type or magnitude of human‐induced behavioural shifts translate into detectable ecological change. Here we synthesise empirical literature and theory to create a novel framework for examining the range of behaviourally mediated pathways through which human activities may affect different ecosystem functions. We highlight the few empirical studies that show the potential realisation of some of these pathways, but also identify numerous factors that can dampen or prevent ultimate ecosystem consequences. Without a deeper understanding of these pathways, we risk wasting valuable resources on mitigating behavioural effects with little ecological relevance, or conversely mismanaging situations in which behavioural effects do drive ecosystem change. The framework presented here can be used to anticipate the nature and likelihood of ecological outcomes and prioritise management among widespread human‐induced behavioural shifts, while also suggesting key priorities for future research linking humans, animal behaviour and ecology.",Ecology; Ecosystem; Environmental change; Relevance (law); Ecological systems theory; Empirical research,"Abstract A growing body of literature has documented myriad effects of human activities on animal behaviour, yet the ultimate ecological consequences of these behavioural shifts remain largely uninvestigated. While it is understood that, in the absence of humans, variation in animal behaviour can have cascading effects on species interactions, community structure and ecosystem function, we know little about whether the type or magnitude of human‐induced behavioural shifts translate into detectable ecological change. Here we synthesise empirical literature and theory to create a novel framework for examining the range of behaviourally mediated pathways through which human activities may affect different ecosystem functions.",,,,National Science Foundation,"Wilson, M. W., Ridlon, A. D., Gaynor, K. M., Gaines, S. D., Stier, A. C., & Halpern, B. S. (2020). Ecological impacts of human‐induced animal behaviour change. Ecology Letters. https://doi.org/10.1111/ele.13571",present,https://www.altmetric.com/details.php?doi=10.1111/ele.13571,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1111/ele.13571"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
"Grazing halos on coral reefs: predation risk, herbivore density, and habitat size influence grazing patterns that are visible from space","Difiore, B.; Queenborough, S.; Madin, E.; Paul, V.; Decker, M.; Stier, A.",2019,Marine Ecology Progress Series,MAR. ECOL. PROG. SER.,10.3354/meps13074,https://doi.org/10.3354/meps13074,https://drive.google.com/file/d/1r_4hN4yHw_met53B5hUwfYRB9SeVrV8U/view,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 627:71-81 (2019) - DOI: https://doi.org/10.3354/meps13074 Grazing halos on coral reefs: predation risk, herbivore density, and habitat size influence grazing patterns that are visible from space Bartholomew P. DiFiore1,2,3,*, Simon A. Queenborough2, Elizabeth M. P. Madin4,5, Valerie J. Paul3, Mary Beth Decker6, Adrian C. Stier1 1Department of Ecology, Evolution, and Marine Biology, University of California, Santa Barbara, California 93106, USA 2Yale School of Forestry and Environmental Studies, Yale University, New Haven, Connecticut 06511, USA 3Smithsonian Marine Station at Fort Pierce, Fort Pierce, Florida 34949, USA 4Hawai'i Institute of Marine Biology, University of Hawai'i, Kane'ohe, Hawai'i 96744, USA 5Department of Biological Sciences, Macquarie University, Sydney, NSW 2109, Australia 6Department of Ecology and Evolution, Yale University, New Haven, Connecticut 06511, USA *Corresponding author: bdifiore@ucsb.edu ABSTRACT: The behavior of organisms at local scales can have dramatic effects on the distribution of habitat and ecosystem processes at large spatial scales. Grazing halos—barren areas of sand surrounding coral reefs—are readily visible in remotely sensed imagery, and are formed by herbivores preferentially grazing close to the safety of the reef. Grazing halo size can vary by more than an order of magnitude, yet we lack an understanding of what underlies this variation. Changes in grazing intensity and the distance herbivores travel may be influenced by predation risk, resource availability, and structural attributes of the reef. Here, we tested how predator density, herbivore density, and patch reef area are correlated with halo size and grazing patterns by linking satellite imagery with mensurative experiments on patch reefs in the Caribbean. Chronic predation risk suppressed the overall foraging intensity of herbivorous fishes; a doubling in predator density led to a 29% decrease in grazing. Variation in herbivore density, which was tightly correlated with patch reef area, was linked to the distance herbivores foraged from the reef. Furthermore, herbivore density and/or reef area was the best predictor of halo width at field sites, and reef area explained a significant proportion of the variation in halo size across the landscape. Our results contribute to a growing body of research suggesting that halos may function as footprints of ecological processes, such as herbivory, that can be quantified using remote sensing, and offer a potential avenue to improve monitoring of coral reef management. KEY WORDS: Predator-prey interaction · Foraging ecology · Herbivory · Predation risk · Remote sensing · Seagrass · Landscape ecology Full text in pdf format Supplementary material PreviousNextCite this article as: DiFiore BP, Queenborough SA, Madin EMP, Paul VJ, Decker MB, Stier AC (2019) Grazing halos on coral reefs: predation risk, herbivore density, and habitat size influence grazing patterns that are visible from space. Mar Ecol Prog Ser 627:71-81. https://doi.org/10.3354/meps13074 Export citation Mail this link - Contents Mailing Lists - RSS Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 627. Online publication date: September 26, 2019 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2019 Inter-Research.",Grazing; Herbivore; Ecology; Coral reef; Predation; Reef,MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 627:71-81 (2019) - DOI: https://doi. org/10.,,consumer-resource,coral reefs,,"Difiore, B., Queenborough, S., Madin, E., Paul, V., Decker, M., & Stier, A. (2019). Grazing halos on coral reefs: predation risk, herbivore density, and habitat size influence grazing patterns that are visible from space. Marine Ecology Progress Series. https://doi.org/10.3354/meps13074",present,https://www.altmetric.com/details.php?doi=10.3354/meps13074,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.3354/meps13074"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Ocean recoveries for tomorrow’s Earth: Hitting a moving target,"Ingeman, K. E.; Samhouri, J. F.; Stier, A. C.",2019,Science,SCIENCE,10.1126/science.aav1004,https://doi.org/10.1126/science.aav1004,https://drive.google.com/file/d/1ReBpBG-2nx6mEnmrADRKh3h7uJK3Xy46/view,"Ocean recoveries are moving targets As the human population has grown, our demands on the ocean have increased rapidly. These demands have similarly increased the pressure we place on these systems, and we now cause considerable damage globally. If we want to maintain healthy ocean ecosystems into the future, we must learn to use ocean resources in a sustainable way and facilitate recovery in regions that have declined. Determining how to make these goals a reality, however, is no small challenge. Ingeman et al. review the challenge presented by attempting both to recover and to use ecosystems simultaneously and discuss several approaches for facilitating this essential dual goal. Science , this issue p. eaav1004",Marine ecosystem; Ecosystem; Population; Earth system science; Environmental resource management; Environmental science,"Ocean recoveries are moving targets As the human population has grown, our demands on the ocean have increased rapidly. These demands have similarly increased the pressure we place on these systems, and we now cause considerable damage globally. If we want to maintain healthy ocean ecosystems into the future, we must learn to use ocean resources in a sustainable way and facilitate recovery in regions that have declined.",,,,Cedar Tree Foundation; Society for Conservation Biology,"Ingeman, K. E., Samhouri, J. F., & Stier, A. C. (2019). Ocean recoveries for tomorrow’s Earth: Hitting a moving target. Science. https://doi.org/10.1126/science.aav1004",present,https://www.altmetric.com/details.php?doi=10.1126/science.aav1004,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1126/science.aav1004"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Strong Evidence for an Intraspecific Metabolic Scaling Coefficient Near 0.89 in Fish,"Jerde, C. L.; Kraskura, K.; Eliason, E. J.; Csik, S. R.; Stier, A. C.; Taper, M. L.",2019,Frontiers in Physiology,FRONT. PHYSIOL.,10.3389/fphys.2019.01166,https://doi.org/10.3389/fphys.2019.01166,https://drive.google.com/file/d/14AFSyczhrNE0uytf2ql358gNBLzK-oJH/view,"As an example of applying the evidential approach to statistical inference, we address one of the longest standing controversies in ecology, the evidence for, or against, a universal metabolic scaling relationship between metabolic rate and body mass. Using fish as our study taxa, we curated 25 studies with measurements of standard metabolic rate, temperature, and mass, with 55 independent trials and across 16 fish species and confronted this data with flexible random effects models. To quantify the body mass - metabolic rate relationship, we perform model selection using the Schwarz Information Criteria (ΔSIC), an established evidence function. Further, we formulate and justify the use of ΔSIC intervals to delineate the values of the metabolic scaling relationship that should be retained for further consideration. We found strong evidence for a metabolic scaling coefficient of 0.89 with a ΔSIC interval spanning 0.82 to 0.99, implying that mechanistically derived coefficients of 0.67, 0.75, and 1, are not supported by the data. Model selection supports the use of a random intercepts and random slopes by species, consistent with the idea that other factors, such as taxonomy or ecological or lifestyle characteristics, may be critical for discerning the underlying process giving rise to the data. The evidentialist framework applied here, allows for further refinement given additional data and more complex models.",Scaling; Metabolic rate; Intraspecific competition; Fish <Actinopterygii>; Inference; Selection (genetic algorithm),"As an example of applying the evidential approach to statistical inference, we address one of the longest standing controversies in ecology, the evidence for, or against, a universal metabolic scaling relationship between metabolic rate and body mass.  Using fish as our study taxa, we curated 25 studies with measurements of standard metabolic rate, temperature, and mass, with 55 independent trials and across 16 fish species and confronted this data with flexible random effects models.",,mixed-effects,,,"Jerde, C. L., Kraskura, K., Eliason, E. J., Csik, S. R., Stier, A. C., & Taper, M. L. (2019). Strong Evidence for an Intraspecific Metabolic Scaling Coefficient Near 0.89 in Fish. Frontiers in Physiology. https://doi.org/10.3389/fphys.2019.01166",present,https://www.altmetric.com/details.php?doi=10.3389/fphys.2019.01166,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.3389/fphys.2019.01166"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
