filename,category,primary_subject,description,colors,mood,suggested_use,species_identified,location_type,quality_notes
aerial-view-island-lagoon-barrier-reef.jpeg,landscape,aerial reef view,"Aerial view of island with lagoon and barrier reef","turquoise,green,blue","expansive,tropical","hero image,reef systems,island research",n/a,tropical island aerial,"stunning aerial perspective"
alexis.webp,portrait,team member Alexis,"Woman working on coral trays at research facility","natural,outdoor,research","engaged,scientific,professional","team page,research in action",human - Alexis,coral nursery/facility,"shows active research"
axolotl.jpeg,amphibian,axolotl,"Pink axolotl - freshwater amphibian NOT MARINE","pink,white","cute,unusual","NOT for ocean site - freshwater amphibian",axolotl,freshwater,"wrong theme - not marine"
barracuda-school-underwater-blue.jpg,fish,barracuda school,"Large school of barracuda in deep blue water","silver,blue","powerful,schooling,dramatic","predator fish,fish schools,pelagic",barracuda,open water,"dramatic schooling shot"
bart.jpg,portrait,team member Bart,"Man with beanie smiling - casual portrait","blue/gray tones","friendly,casual","team page",human - Bart,marina background,"good casual portrait"
beach-sunset-sea-lion-silhouette.jpg,marine mammal,sea lion sunset,"Sea lion silhouette against sunset beach","orange,sunset,silhouette","peaceful,dramatic,golden hour","hero image,wildlife,conservation",sea lion,beach at sunset,"beautiful artistic shot"
bear-mural-street-art.jpg,art,street art mural,"Bear street art mural - NOT OCEAN RELATED","colorful,artistic","urban,artistic","NOT for ocean site - urban art theme",n/a,urban,"wrong theme"
blacktip-reef-shark-swimming.jpg,shark,blacktip reef shark,"Blacktip reef shark swimming in clear blue water","gray,blue,shark","sleek,predatory","shark section,reef predators",blacktip reef shark,reef,"good shark profile"
blacktip-reef-sharks-split-view-island.jpeg,shark,split view sharks and island,"Split above/below water view with sharks and tropical island","blue,green,tropical","dramatic,dual perspective","hero image,shark conservation,tropical research",blacktip reef sharks,tropical island,"excellent split shot"
bleach-coral.jpeg,coral,bleached coral,"White bleached coral showing stress/mortality","white,pale,bleached","concerning,educational","climate change,coral bleaching,threats",bleached coral,reef,"important for conservation messaging"
blue-green-chromis-coral-school.JPG,fish,chromis school,"School of blue-green chromis fish swarming over coral","turquoise,blue,coral","active,vibrant,natural","coral-fish symbiosis,fish schools","blue-green chromis (Chromis viridis)",coral reef,"excellent fish-coral interaction"
"butterfly fish eating coral.jpeg",fish,butterflyfish feeding,"Butterflyfish feeding on coral - corallivory in action","yellow,striped,coral","behavioral,feeding","coral predation,fish feeding behavior,corallivory",butterflyfish species,coral reef,"shows ecological interaction"
california-coastline-rocky-shore.jpg,landscape,California coastline,"Rocky California coastline with waves and tidepools","blue,gray,coastal","rugged,wild,Pacific","California research,tidepool section,coastline",n/a,California coast,"scenic coastal shot"
california-sheephead-kelp-forest.jpeg,fish,California sheephead,"Male California sheephead swimming in kelp forest","red,black,kelp green","California iconic","kelp forest section,California species","California sheephead (Semicossyphus pulcher)",kelp forest,"excellent kelp context"
cauliflower-coral-damselfish-reef.jpeg,reef,coral with damselfish,"Cauliflower coral with damselfish sheltering","pink coral,blue fish","symbiotic,natural","coral-fish relationships,reef ecology",cauliflower coral + damselfish,reef,"good symbiosis shot"
"channel clinging crab,Mithrax spinosissimus.jpeg",crustacean,channel clinging crab,"Channel clinging crab - spiny Caribbean species","red,spiny","detailed,characterful","Caribbean species,crab gallery","channel clinging crab (Mithrax spinosissimus)",Caribbean reef,"good species documentation"
chromis-acropora.jpeg,fish,chromis on Acropora,"Chromis fish among Acropora coral branches","blue fish,coral","symbiotic,natural","coral-fish,reef fish",chromis + Acropora coral,coral reef,"shows habitat association"
conflict-image.jpg,graphic,conflict diagram,"Abstract graphic/diagram - appears to be conflict/management illustration","graphic colors","illustrative,conceptual","conceptual diagrams,management,conflict",n/a,graphic/illustration,"infographic style"
conifer-forest-sunlight-trees.jpg,terrestrial,conifer forest,"Sunlit conifer forest - NOT OCEAN RELATED","green,golden light","peaceful,forest","NOT for ocean site - terrestrial",n/a,forest,"wrong theme"
coral-bleaching-timelapse-study.jpeg,coral,coral bleaching study,"Grid showing coral bleaching progression over time","white,coral,scientific","scientific,concerning,educational","bleaching research,climate change,methodology",coral species,lab/research,"valuable research imagery"
coral-guard-crab-red-spotted-macro.jpeg,crustacean,coral guard crab,"Red-spotted coral guard crab macro on coral polyps","red,spotted,coral tan","detailed,intimate,symbiotic","crab-coral symbiosis,macro gallery",Trapezia sp.,coral,"excellent macro"
coral-reef-bleached-anemone-fish-school.jpeg,reef,bleached reef with fish,"Reef showing bleaching with anemonefish still present","white,bleached,fish","concerning but resilient","bleaching impacts,climate change,reef health",anemonefish,bleached reef,"shows bleaching with life"
coral-reef-panorama-anthias-fish.jpeg,reef,reef panorama with anthias,"Wide panoramic reef view with schooling anthias","orange,purple,blue,coral","vibrant,expansive,healthy","hero image,reef beauty,conservation",anthias fish + diverse coral,coral reef,"excellent panorama"
damselfish-pair-acropora-coral.jpeg,fish,damselfish pair on Acropora,"Two damselfish over Acropora coral branches","dark fish,coral","paired,territorial","fish behavior,coral-fish",damselfish pair,Acropora coral,"good behavioral shot"
damselfish-pair-pink-coral.jpeg,fish,damselfish pair on pink coral,"Two damselfish near pink coral","gray fish,pink coral","paired,coral associated","fish-coral relationships",damselfish species,coral,"good fish portrait"
damselfish-single-coral-closeup.jpeg,fish,single damselfish on coral,"Single damselfish close-up with coral background","fish,coral","portrait,detailed","fish gallery,coral fish",damselfish,coral reef,"good fish portrait"
deadcoral.jpeg,coral,dead coral,"Dead/degraded coral rubble - reef degradation","gray,dead,algae covered","sobering,concerning","threats section,reef decline,conservation need",dead coral,degraded reef,"important for showing threats"
dungeness-crab-beach-closeup.jpeg,crustacean,Dungeness crab,"Dungeness crab close-up on beach","red-brown,sandy","commercially important","Pacific Northwest,fisheries,crab species",Dungeness crab,beach,"good species shot"
fish-eggs-roe-hand-closeup.JPG,reproduction,fish eggs/roe,"Hand holding translucent fish eggs showing developing embryos","translucent,yellowish","scientific,life cycle","reproduction research,fish biology,development",fish eggs,fieldwork,"excellent macro of eggs"
fishing-boat-seagulls-rocky-coast.jpeg,fishing,fishing boat scene,"Fishing boat with seagulls near rocky coast","blue,white boat,rocky","working,maritime","fisheries section,human use",n/a,coastal fishing area,"good fisheries context"
fishing-harbor-marina-mountains.JPG,landscape,fishing harbor,"Fishing harbor with boats and mountain backdrop","blue,boats,mountains","scenic,working harbor","Pacific Northwest,fisheries,research base",n/a,fishing harbor,"scenic harbor shot"
flatfish-flounder-camouflage-sand.JPG,fish,flatfish camouflage,"Flounder/flatfish camouflaged on sandy bottom","sandy,camouflage","hidden,adaptive","camouflage,fish adaptations,sandy habitats",flounder/flatfish,sandy bottom,"excellent camouflage shot"
"fluorescent coral at night .jpeg",coral,fluorescent coral,"Coral showing fluorescence under UV/blue light","fluorescent colors,glowing","striking,scientific,night","coral research,fluorescence,night diving",fluorescent coral,reef at night,"dramatic fluorescence"
forested-islands-aerial-ocean-view.JPG,landscape,forested islands aerial,"Aerial view of forested islands in ocean - Pacific Northwest style","green,blue,islands","pristine,temperate","Pacific Northwest research,island ecosystems",n/a,temperate islands,"beautiful aerial"
garibaldi-fish-orange-kelp-forest.jpeg,fish,garibaldi in kelp,"Bright orange Garibaldi swimming through kelp","orange,kelp green","California iconic","kelp forest,California species,hero","Garibaldi (Hypsypops rubicundus)",kelp forest,"excellent California shot"
giant-kelp-sunlight-underwater.jpeg,kelp,giant kelp canopy,"Giant kelp forest with sunlight streaming through","golden,green,light rays","majestic,cathedral-like","kelp forest hero,California,ecosystem",giant kelp (Macrocystis),kelp forest,"stunning light"
gooseneck-barnacles-cluster-tidepool.jpg,invertebrate,gooseneck barnacles,"Cluster of gooseneck barnacles on rock","black,white,shell","intertidal,clustered","tidepool section,intertidal life",gooseneck barnacles,rocky intertidal,"good tidepool species"
"green coral polyps.jpeg",coral,coral polyps green,"Green coral polyps - macro view","green,glowing","detailed,healthy","coral biology,polyps,macro",coral polyps,coral reef,"vibrant macro"
halo-grazing.png,diagram,grazing halo diagram,"Diagram/image showing grazing halos around reefs","diagram colors","scientific,illustrative","research concepts,reef ecology,grazing",n/a,diagram/satellite,"research illustration"
hayden.jpg,portrait,team member Hayden,"Young man in white shirt with lobster on head - fun portrait","blue background,white shirt","humorous,fun,personality","team page,fun culture",human - Hayden,studio,"playful team photo"
hurricane-earth-from-space.jpeg,climate,hurricane from space,"Hurricane/cyclone viewed from space","swirling white,blue earth","powerful,climate","climate change,storms,global perspective",n/a,Earth from space,"dramatic climate imagery"
jada.jpg,portrait,team member Jada,"Young woman smiling on beach at sunset in red jacket","sunset,red jacket,beach","friendly,warm,fieldwork","team page",human - Jada,beach,"excellent warm portrait"
jaden.jpg,portrait,team member Jaden,"Woman smiling by candlelight outdoors","warm lighting,night","warm,social","team page",human - Jaden,outdoor evening,"candid portrait"
joe.jpg,portrait,team member Joe,"Man on boat holding caught fish smiling","blue ocean,fish","accomplished,fieldwork","team page,research methods",human - Joe,boat at sea,"shows fieldwork"
kai.jpg,portrait,team member Kai,"Man in purple sweatshirt outdoors smiling","green background,purple","friendly,outdoors","team page",human - Kai,outdoor,"casual team portrait"
"kelp forest views from below.jpeg",kelp,kelp canopy from below,"View looking up through kelp forest canopy","golden,green,light","majestic,underwater","kelp forest hero,California",giant kelp,kelp forest,"beautiful upward perspective"
kelp-forest-fish-school-underwater.jpeg,kelp,kelp forest with fish,"Kelp forest ecosystem with fish school","green,fish,kelp","rich ecosystem,alive","kelp forest section,ecosystem health",various fish + kelp,kelp forest,"shows ecosystem richness"
kelp-hero.jpeg,kelp,kelp forest hero,"Dramatic kelp forest image - potential hero shot","green,golden,underwater","dramatic,inviting","hero image,kelp forest section",giant kelp,kelp forest,"excellent hero potential"
kelp_canopy.jpg,kelp,kelp canopy surface,"Kelp canopy at water surface","brown,green,water","surface perspective,dense","kelp ecosystem,surface view",giant kelp,kelp forest surface,"good surface view"
kurt.jpg,portrait,team member Kurt,"Man with beard in blue patterned shirt - professional headshot","green background,blue","professional,friendly","team page,leadership",human - Kurt,professional portrait,"excellent headshot"
lionfish.jpeg,fish,lionfish,"Lionfish showing venomous spines - invasive species","striped,spiny,dramatic","dangerous,beautiful,invasive","invasive species,threats,reef impacts","lionfish (Pterois sp.)",reef,"important invasive species"
lobster-in-underwater-trap-cage.jpeg,crustacean,lobster in trap,"Lobster inside underwater fishing trap","trap,lobster,underwater","fisheries,captured","fisheries management,lobster fishing",lobster species,trap underwater,"fisheries documentation"
lobster.jpeg,crustacean,lobster portrait,"Close-up of lobster","red,lobster detail","detailed,commercial","invertebrates,fisheries",lobster species,n/a,"good lobster portrait"
lorenz-attractor-abstract-art.jpeg,abstract,mathematical art,"Lorenz attractor mathematical visualization - abstract","colorful,abstract lines","mathematical,artistic","NOT directly ocean-related,complexity",n/a,abstract graphic,"abstract/conceptual"
man-portrait-marina-boats-background.jpg,portrait,team member (unnamed),"Man in cap and white shirt smiling at marina","marina,boats,casual","friendly,maritime","team page potential",human,marina,"casual marine setting"
man-portrait-selfie-outdoors.jpeg,portrait,team member (unnamed),"Man selfie outdoors with palm trees","tropical,casual","friendly,casual","team page potential",human,tropical outdoor,"casual selfie"
man-scuba-diver-on-boat.jpg,portrait,diver on boat,"Man on dive boat with scuba tanks","boat,tanks,ocean","professional,ready to dive","team/diving section",human,dive boat,"fieldwork context"
manta-ray-silhouette-underwater.JPG,ray,manta ray silhouette,"Manta ray silhouette against light from below","blue,silhouette","majestic,graceful","megafauna,rays,dramatic imagery",manta ray,open water,"dramatic silhouette"
manta.jpg,logo,manta ray logo,"Black and white manta ray logo/icon in circle","black,white,graphic","clean,iconic,logo","branding,logo,icon use",manta ray graphic,n/a,"logo/branding asset"
marine-iguana-galapagos-beach.jpg,reptile,marine iguana,"Marine iguana on Galapagos beach","gray,brown,coastal","prehistoric,unique","Galapagos,unique species,marine reptile",marine iguana,Galapagos beach,"good species shot"
marine-iguana-sand-galapagos.jpg,reptile,marine iguana on sand,"Marine iguana crawling on white sand","gray,white sand","ancient,reptilian","Galapagos section,marine reptiles",marine iguana,Galapagos,"good angle"
megsie.webp,portrait,team member Megsie,"Woman smiling - professional headshot","neutral background,professional","friendly,professional","team page",human - Megsie,professional portrait,"excellent headshot"
molly.jpg,portrait,team member Molly,"Female diver in water with kelp on head smiling","blue water,dive gear","fun,fieldwork,diving","team page,diving culture",human - Molly,ocean surface,"fun diving shot"
moorea-mountain-tropical-island-view.jpeg,landscape,Moorea island view,"Tropical mountain island view - Moorea style","green,tropical,dramatic peaks","tropical paradise,dramatic","tropical research site,island landscape",n/a,Moorea/French Polynesia,"stunning island shot"
norht-sea-fishing.jpeg,fishing,fishing net haul,"Large net full of fish being hauled - commercial fishing","fish,nets,commercial","industrial,abundant","fisheries section,commercial fishing",various fish,commercial fishing,"shows fishing scale"
ocean-wave-kelp-breaking.jpeg,wave,wave with kelp,"Breaking ocean wave with kelp visible","turquoise,white foam,kelp","dynamic,powerful,coastal","coastal dynamics,kelp distribution",kelp in wave,coastal,"dramatic wave shot"
overwater-bungalows-split-view-reef-fish.jpeg,landscape,split view bungalows and reef,"Split above/below showing overwater bungalows and reef fish","turquoise,tropical,fish","tropical paradise,dual perspective","tropical research,tourism intersection,hero",striped fish,Moorea/French Polynesia,"excellent split shot"
pacific-herring-net.jpeg,fishing,herring catch,"Net full of Pacific herring - commercial/research catch","silver fish,net,water","abundance,fisheries","Pacific fisheries,herring,forage fish",Pacific herring,fishing net,"shows herring abundance"
parrotfish.jpeg,fish,parrotfish on reef,"Colorful parrotfish swimming over coral reef with sea fan","rainbow,blue,coral","colorful,reef grazer","parrotfish,reef fish,coral interactions",parrotfish species,coral reef,"excellent colorful shot"
purple-urchin.jpeg,invertebrate,purple sea urchin,"Vivid purple sea urchin with spines extended - dramatic black background","purple,spines,dark","striking,detailed","urchin biology,California,invertebrates",purple sea urchin,dark background,"stunning macro"
raine.jpg,portrait,team member Raine,"Woman smiling outdoors near waterfall","nature background,casual","friendly,outdoors","team page",human - Raine,outdoor/waterfall,"nice natural setting"
red-pencil-urchin-coral-reef.JPG,invertebrate,red pencil urchin,"Red pencil urchin on coral reef with sunlight","red,coral,light","tropical,colorful","urchin species,tropical reef",red pencil urchin,tropical reef,"vibrant reef shot"
red-spotted-coral-crab-macro.jpeg,crustacean,coral crab macro,"Red-spotted coral crab detailed macro on coral polyps","red,spotted,coral","intimate,detailed,symbiotic","crab-coral research,macro",Trapezia rufopunctata,coral,"excellent macro detail"
research-team-boats-turquoise-lagoon.webp,fieldwork,research team on boats,"Research team on boats in turquoise lagoon - French Polynesia","turquoise,boats,team","collaborative,fieldwork","team page,research methods,fieldwork",humans - team,French Polynesia lagoon,"excellent team fieldwork shot"
research-team-group-photo-beach.jpeg,team,research team group photo,"Group of 7 researchers posed on beach with cliffs","beach,team,casual","collaborative,friendly","team page,about us,group photo",humans - full team,beach California,"excellent team photo"
researcher-on-boat-ocean-fieldwork.jpg,fieldwork,researcher on boat,"Researcher in wetsuit sitting on boat - black and white","black and white,ocean,boat","documentary,fieldwork","research methods,fieldwork",human researcher,boat at sea,"artistic fieldwork shot"
rock-crab-kelp-tidepool.jpg,crustacean,rock crab,"Large rock crab in kelp tidepool environment","red-brown,kelp,tidepool","robust,intertidal","California tidepools,crab species",rock crab,tidepool,"good tidepool species"
rocky-beach-cove-panorama.jpeg,landscape,rocky beach panorama,"Panoramic view of rocky beach cove - California coast","blue,rocky,coastal","scenic,expansive","California coastline,research site",n/a,California coast,"beautiful panorama"
rocky-tidepool-coastline-sunset.jpg,landscape,tidepool coastline sunset,"Rocky coastline with tidepools at sunset with researchers","golden,rocky,sunset","golden hour,fieldwork","tidepool research,California coast,hero",researchers,California coast,"stunning fieldwork scene"
sally-lightfoot-crab-galapagos.jpg,crustacean,Sally Lightfoot crab,"Bright red-orange Sally Lightfoot crab on rock","red,orange,vibrant","colorful,iconic","Galapagos,crab species",Sally Lightfoot crab,Galapagos,"vibrant crab shot"
sam.jpg,portrait,team member Sam,"Woman with long brown hair smiling - professional portrait","green background,professional","friendly,professional","team page",human - Sam,professional portrait,"excellent headshot"
schooling-jacks-fish-underwater.jpeg,fish,schooling jacks,"Large dense school of jacks forming baitball shape","silver,blue,schooling","dramatic,abundance","fish behavior,schooling,predator-prey",jack fish species,open water,"dramatic schooling shot"
scuba-divers-shark-deep-blue.JPG,diving,divers with shark,"Multiple scuba divers in deep blue with shark swimming by","blue,divers,shark","adventurous,dramatic","shark diving,research diving",shark + divers,deep water,"dramatic encounter"
seagrass.jpeg,habitat,seagrass meadow,"Underwater seagrass meadow with sunlight","green,light rays,blue","peaceful,productive","seagrass ecosystems,blue carbon",seagrass,seagrass bed,"beautiful seagrass shot"
seattle-urban-coastline.jpeg,landscape,Seattle skyline,"Seattle skyline with Space Needle and waterfront","city,water,sunset","urban coastal,iconic","urban oceans,Pacific Northwest,human coasts",n/a,Seattle,"urban coastal context"
sheephead.jpeg,fish,California sheephead,"Male California sheephead close portrait","red,black,distinctive","bold,California icon","California kelp species,fish portrait","California sheephead (Semicossyphus pulcher)",kelp forest,"excellent portrait"
spiny-lobsters-group-reef-hideout.jpeg,crustacean,spiny lobster group,"Group of spiny lobsters hiding in reef crevice","red,lobster,colorful reef","social,hiding,reef","lobster ecology,invertebrates",spiny lobsters,reef crevice,"good group shot"
