slug,title,recommended_image,current_image,match_reason,needs_new_photo
predator-density-and-timing-of-arrival-affect-reef-fish-comm,"Predator density and timing affect reef fish assembly",scuba-divers-shark-deep-blue.JPG,chromis-acropora.jpeg,"Divers with shark - predator presence",No
emergent-effects-of-multiple-predators-on-prey-survival-the,"Emergent effects of multiple predators on prey survival",stingrays-group-sandy-bottom.JPG,tropical-island-aerial-view-lagoon-reef.jpeg,"Multiple stingrays - multiple predators",No
housekeeping-mutualisms-do-more-symbionts-facilitate-host-pe,"Housekeeping Mutualisms: Do More Symbionts Facilitate Host?",Coral Crab - Gurard Crab (Trapezia serenei) Hiding in Coral Feeding at Night.jpeg,tropical-island-split-view-coral-reef-shark.jpeg,"Guard crab at night - symbiont",No
the-influence-of-fundamental-traits-on-mechanisms-controllin,"Influence of fundamental traits on appendage regeneration",NEEDS_PHOTO,giant-kelp-sunlight-underwater.jpeg,"Need: regeneration/limb image (crab/starfish)",Yes
multiple-defender-effects-synergistic-coral-defense-by-mutua,"Multiple defender effects: synergistic coral defense by mutualist crustaceans",Red spotted Coral Crab Trapezia rufopunctata.jpeg,chromis-acropora.jpeg,"Coral crab - mutualist defender",No
coral-density-and-predation-affect-growth-of-a-reef-building,"Coral density and predation affect growth of reef-building coral",Coral reef South Pacific Bali.jpeg,tropical-island-aerial-view-lagoon-reef.jpeg,"Coral reef density",No
the-value-of-estuarine-and-coastal-ecosystem-services,"The value of estuarine and coastal ecosystem services",rocky-beach-cove-panorama.jpeg,tropical-island-aerial-view-lagoon-reef.jpeg,"Coastal ecosystem panorama",No
charismatic-microfauna-alter-cyanobacterial-production-throu,"Charismatic microfauna alter cyanobacterial production",NEEDS_PHOTO,coral-reef-panorama-anthias-fish.jpeg,"Need: cyanobacteria/microbial mat image",Yes
propagule-redirection-habitat-availability-reduces-colonizat,"Propagule redirection: Habitat availability - reef fish recruitment",cauliflower-coral-damselfish-reef.jpeg,chromis-acropora.jpeg,"Coral with damselfish - habitat/recruitment",No
predators-reduce-abundance-and-species-richness-of-coral-ree,"Predators reduce abundance of coral reef fish recruits",NEEDS_PHOTO,tropical-island-aerial-view-lagoon-reef.jpeg,"Need: juvenile/recruit fish image",Yes
priority-effects-and-habitat-complexity-affect-the-strength,"Priority effects and habitat complexity affect competition",Underwater coral reef.jpeg,coral-reef-panorama-anthias-fish.jpeg,"Complex coral habitat",No
the-vermetid-gastropod-idendropoma-maximumi-reduces-coral-gr,"The vermetid gastropod Dendropoma maximum reduces coral growth",NEEDS_PHOTO,damselfish-pair-acropora-coral.jpeg,"Need: vermetid snail/gastropod image",Yes
guard-crabs-alleviate-deleterious-effects-of-vermetid-snails,"Guard crabs alleviate effects of vermetid snails on coral",Korallenkrabbe (Guard crab) in einer Steinkoralle.jpeg,coral-reef-panorama-anthias-fish.jpeg,"Guard crab in coral - exact topic",No
synthesizing-mechanisms-of-density-dependence-in-reef-fishes,"Synthesizing mechanisms of density dependence in reef fishes",A group of red coral fish is moving over the reef.jpeg,chromis-acropora.jpeg,"School of reef fish - density",No
coral-reef-fishes-use-crown-of-thorns-seastar-as-habitat,"Coral reef fishes use crown-of-thorns seastar as habitat",Close-up of a group of Crown-of-Thorns starfish.jpeg,tropical-island-aerial-view-lagoon-reef.jpeg,"Crown-of-thorns starfish - exact topic",No
effects-of-the-fish-anesthetic-clove-oil-eugenol-on-coral-he,"Effects of fish anesthetic clove oil on coral health",Star coral at night.jpeg,coral-guard-crab-red-spotted-macro.jpeg,"Coral detail - health focus",No
order-of-arrival-affects-competition-in-two-reef-fishes,"Order of arrival affects competition in two reef fishes",damselfish-pair-acropora-coral.jpeg,damselfish-pair-acropora-coral.jpeg,"Damselfish pair - competition",No
