"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AVX4YX3C","journalArticle","2019","DiFiore, Bp; Queenborough, Sa; Madin, Emp; Paul, Vj; Decker, Mb; Stier, Ac","Grazing halos on coral reefs: predation risk, herbivore density, and habitat size influence grazing patterns that are visible from space","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps13074","https://www.int-res.com/abstracts/meps/v627/p71-81/","The behavior of organisms at local scales can have dramatic effects on the distribution of habitat and ecosystem processes at large spatial scales. Grazing halos — barren areas of sand surrounding coral reefs — are readily visible in remotely sensed imagery, and are formed by herbivores preferentially grazing close to the safety of the reef. Grazing halo size can vary by more than an order of magnitude, yet we lack an understanding of what underlies this variation. Changes in grazing intensity and the distance herbivores travel may be influenced by predation risk, resource availability, and structural attributes of the reef. Here, we tested how predator density, herbivore density, and patch reef area are correlated with halo size and grazing patterns by linking satellite imagery with mensurative experiments on patch reefs in the Caribbean. Chronic predation risk suppressed the overall foraging intensity of herbivorous fishes; a doubling in predator density led to a 29% decrease in grazing. Variation in herbivore density, which was tightly correlated with patch reef area, was linked to the distance herbivores foraged from the reef. Furthermore, herbivore density and/or reef area was the best predictor of halo width at field sites, and reef area explained a significant proportion of the variation in halo size across the landscape. Our results contribute to a growing body of research suggesting that halos may function as footprints of ecological processes, such as herbivory, that can be quantified using remote sensing, and offer a potential avenue to improve monitoring of coral reef management.","2019-09-26","2025-09-07 18:12:33","2025-09-07 18:12:33","2025-09-07 18:12:33","71-81","","","627","","Mar. Ecol. Prog. Ser.","Grazing halos on coral reefs","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/PHJBUSR9/DiFiore et al. - 2019 - Grazing halos on coral reefs predation risk, herbivore density, and habitat size influence grazing.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SBH3HXHC","journalArticle","2020","Dundas, Steven J.; Levine, Arielle S.; Lewison, Rebecca L.; Doerr, Angee N.; White, Crow; Galloway, Aaron W. E.; Garza, Corey; Hazen, Elliott L.; Padilla‐Gamiño, Jacqueline; Samhouri, Jameal F.; Spalding, Ana; Stier, Adrian; White, J. Wilson","Integrating oceans into climate policy: Any green new deal needs a splash of blue","Conservation Letters","","1755-263X, 1755-263X","10.1111/conl.12716","https://conbio.onlinelibrary.wiley.com/doi/10.1111/conl.12716","Abstract             Recent warnings from scientists suggest there is limited time to enact policies to avert wide‐ranging ecological and social damage from climate change. In the United States, discussions about comprehensive national policies to avert climate change have begun, with “Green New Deal” proposals and climate plans put forth by members of Congress and presidential candidates. Oceans are largely absent or separate from these nascent policy proposals. Here, we highlight a policy framework to develop terrestrial and ocean‐integrated policies that can complement and enhance terrestrial‐focused initiatives focused on four specific sectors: 1) energy; 2) transportation; 3) food security; and 4) habitat restoration. Given political friction and constrained budgets, an integrated policy framework offers greater potential to achieve a portfolio of mitigation and adaptation goals in a cost‐effective manner, beyond what could be realized with marine or terrestrial policy solutions alone.","2020-09","2025-09-07 18:12:34","2025-09-07 18:12:34","2025-09-07 18:12:34","e12716","","5","13","","CONSERVATION LETTERS","Integrating oceans into climate policy","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/MHEBUBFK/Dundas et al. - 2020 - Integrating oceans into climate policy Any green new deal needs a splash of blue.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N766H7YN","journalArticle","2010","Geange, Shane Wallace; Stier, Adrian C.","Priority effects and habitat complexity affect the strength of competition","Oecologia","","0029-8549, 1432-1939","10.1007/s00442-009-1554-z","http://link.springer.com/10.1007/s00442-009-1554-z","","2010-05","2025-09-07 18:12:36","2025-09-07 18:12:36","2025-09-07 18:12:36","111-118","","1","163","","Oecologia","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/2RSTPKIH/Geange and Stier - 2010 - Priority effects and habitat complexity affect the strength of competition.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q7EI6EUK","journalArticle","2010","Geange, S. W.; Stier, A. C.","Charismatic microfauna alter cyanobacterial production through a trophic cascade","Coral Reefs","","0722-4028, 1432-0975","10.1007/s00338-010-0606-5","http://link.springer.com/10.1007/s00338-010-0606-5","The trophic ecology of cyanobacterial blooms is poorly understood on coral reefs. Blooms of toxic cyanobacteria, Lyngbya majuscula, can quickly form large mats. The herbivorous sea hare, Stylocheilus striatus, and the predatory nudibranch, Gymnodoris ceylonica, often associate with these blooms, forming a linear food chain: nudibranch—sea hare—cyanobacteria. Using laboratory studies, this study quantiﬁed (1) the functional response of nudibranchs, (2) the effect of sea hare size on predation rates, and (3) the strength of the indirect effect of sea hare predation on cyanobacteria (i.e., a trophic cascade). Nudibranchs consumed on average 2.4 sea hares d-1, with the consumption of small sea hares 22 times greater than the consumption of large sea hares. Predation of sea hares reduced herbivory. Cyanobacterial biomass was 1.5 times greater when nudibranchs were present relative to when nudibranchs were absent. Although sea hare grazing can substantially reduce cyanobacterial biomass, predation of sea hares may mitigate grazing pressure, and therefore increase the abundance of cyanobacteria.","2010-06","2025-09-07 18:12:37","2025-09-07 18:12:37","2025-09-07 18:12:37","393-397","","2","29","","Coral Reefs","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/MUA9I5BF/Geange and Stier - 2010 - Charismatic microfauna alter cyanobacterial production through a trophic cascade.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQ9IEPBY","journalArticle","2009","Geange, Shane W.; Stier, Adrian C.","Order of arrival affects competition in two reef fishes","Ecology","","0012-9658, 1939-9170","10.1890/08-0630.1","https://esajournals.onlinelibrary.wiley.com/doi/10.1890/08-0630.1","Many communities experience repeated periods of colonization due to seasonally regenerating habitats or pulsed arrival of young-of-year. When an individual’s persistence in a community depends upon the strength of competitive interactions, changes in the timing of arrival relative to the arrival of a competitor can modify competitive strength and, ultimately, establishment in the community. We investigated whether the strength of intracohort competitive interactions between recent settlers of the reef ﬁshes Thalassoma hardwicke and T. quinquevittatum are dependent on the sequence and temporal separation of their arrival into communities. To achieve this, we manipulated the sequence and timing of arrival of each species onto experimental patch reefs by simulating settlement pulses and monitoring survival and aggressive interactions. Both species survived best in the absence of competitors, but when competitors were present, they did best when they arrived at the same time. Survival declined as each species entered the community progressively later than its competitor and as aggression by its competitor increased. Intraspeciﬁc effects of resident T. hardwicke were similar to interspeciﬁc effects. This study shows that the strength of competition depends not only on the identity of competitors, but also on the sequence and timing of their interactions, suggesting that when examining interaction strengths, it is important to identify temporal variability in the direction and magnitude of their effects. Furthermore, our ﬁndings provide empirical evidence for the importance of competitive lotteries in the maintenance of species diversity in demographically open marine systems.","2009-10","2025-09-07 18:12:38","2025-09-07 18:12:38","2025-09-07 18:12:38","2868-2878","","10","90","","Ecology","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/WBMK9BYD/Geange and Stier - 2009 - Order of arrival affects competition in two reef fishes.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PMLFGQH2","journalArticle","2017","Geange, Shane W.; Poulos, Davina E.; Stier, Adrian C.; McCormick, Mark I.","The relative influence of abundance and priority effects on colonization success in a coral-reef fish","Coral Reefs","","0722-4028, 1432-0975","10.1007/s00338-016-1503-3","http://link.springer.com/10.1007/s00338-016-1503-3","","2017-03","2025-09-07 18:12:40","2025-09-07 18:12:40","2025-09-07 18:12:40","151-155","","1","36","","Coral Reefs","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/UX222335/Geange et al. - 2017 - The relative influence of abundance and priority effects on colonization success in a coral-reef fis.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JJEIXVV9","journalArticle","2013","Geange, Sw; Stier, Ac; Shima, Js","Competitive hierarchies among three species of juvenile coral reef fishes","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps10015","http://www.int-res.com/abstracts/meps/v472/p239-248/","Interspecific competition is often asymmetric, and it can limit the spatial distributions of competitively inferior species within a community. When asymmetric competition involves 2 or more component species, the ranking of species’ competitive abilities may form competitive hierarchies (all species of higher rank out-compete all species of lower rank) or competitive networks (at least 1 species of lower rank out-competes ≥1 species of higher rank). Expectations of resource monopolization and patterns of distribution and abundance among species in competitive networks are expected to differ from those in competitive hierarchies. We conducted a field experiment to evaluate the relative competitive abilities of juveniles of 3 closely related species of reef fish (bird wrasse Gomphosus varius, fivestripe wrasse Thalassoma quinquevittatum and the sixbar wrasse T. hardwicke) on Moorea, French Polynesia. We controlled for intrinsic variation in survivorship among species and found that competition among these 3 species was highly asymmetric, resulting in a simple competitive hierarchy (sequence of competitive ability from superior to inferior competitors): fivestripe wrasse > bird wrasse > sixbar wrasse. We surveyed densities of the 3 reef fish species on 55 patch reefs and observed significant negative spatial covariation between superior and inferior competitors, consistent with competitive hierarchies that limit the spatial distributions of the inferior species (sixbar wrasse). Our work demonstrates that intense asymmetric competition and the formation of competitive hierarchies may be an important determinant of resource monopolization and patterns of distribution and abundance in reef fishes.","2013-01-09","2025-09-07 18:12:41","2025-09-07 18:12:41","2025-09-07 18:12:41","239-248","","","472","","Mar. Ecol. Prog. Ser.","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/5S7Y5EFR/Geange et al. - 2013 - Competitive hierarchies among three species of juvenile coral reef fishes.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36Y4NN6E","journalArticle","2016","Gallagher, Austin J.; Brandl, Simon J.; Stier, Adrian C.","Intraspecific variation in body size does not alter the effects of mesopredators on prey","Royal Society Open Science","","2054-5703","10.1098/rsos.160414","https://royalsocietypublishing.org/doi/10.1098/rsos.160414","As humans continue to alter the species composition and size structure of marine food webs, it is critical to understand size-dependent effects of predators on prey. Yet, how shifts in predator body size mediate the effect of predators is understudied in tropical marine ecosystems, where anthropogenic harvest has indirectly increased the density and size of small-bodied predators. Here, we combine field surveys and a laboratory feeding experiment in coral reef fish communities to show that small and large predators of the same species can have similar effects. Specifically, surveys show that the presence of a small predator (               Paracirrhites arcatus               ) was correlated with lower chances of prey fish presence, but these correlations were independent of predator size. Experimental trials corroborated the size-independent effect of the predator; attack rates were indistinguishable between small and large predators, suggesting relatively even effects of hawkfish in various size classes on the same type of prey. Our results indicate that the effects of small predators on coral reefs can be size-independent, suggesting that variation in predator size-structure alone may not always affect the functional role of these predators.","2016-12","2025-09-07 18:12:43","2025-09-07 18:12:43","2025-09-07 18:12:43","160414","","12","3","","R. Soc. open sci.","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/2NVYDQZS/Gallagher et al. - 2016 - Intraspecific variation in body size does not alter the effects of mesopredators on prey.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DVRCSV6Y","journalArticle","2018","Hamman, Elizabeth A.; McKinley, Scott A.; Stier, Adrian C.; Osenberg, Craig W.","Landscape configuration drives persistent spatial patterns of occupant distributions","Theoretical Ecology","","1874-1738, 1874-1746","10.1007/s12080-017-0352-1","http://link.springer.com/10.1007/s12080-017-0352-1","","2018-03","2025-09-07 18:12:44","2025-09-07 18:12:44","2025-09-07 18:12:44","111-127","","1","11","","Theor Ecol","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/EZNTTL8Q/Hamman et al. - 2018 - Landscape configuration drives persistent spatial patterns of occupant distributions.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTRWC8Q4","journalArticle","2010","Heinlein, J. M.; Stier, A. C.; Steele, M. A.","Predators reduce abundance and species richness of coral reef fish recruits via non-selective predation","Coral Reefs","","0722-4028, 1432-0975","10.1007/s00338-010-0592-7","http://link.springer.com/10.1007/s00338-010-0592-7","Predators have important effects on coral reef ﬁsh populations, but their effects on community structure have only recently been investigated and are not yet well understood. Here, the effect of predation on the diversity and abundance of young coral reef ﬁshes was experimentally examined in Moorea, French Polynesia. Effects of predators were quantiﬁed by monitoring recruitment of ﬁshes onto standardized patch reefs in predator-exclosure cages or uncaged reefs. At the end of the 54-day experiment, recruits were 74% less abundant on reefs exposed to predators than on caged ones, and species richness was 42% lower on reefs exposed to predators. Effects of predators varied somewhat among families, however, rarefaction analysis indicated that predators foraged non-selectively among species. These results indicate that predation can alter diversity of reef ﬁsh communities by indiscriminately reducing the abundance of ﬁshes soon after settlement, thereby reducing the number of species present on reefs.","2010-06","2025-09-07 18:12:46","2025-09-07 18:12:46","2025-09-07 18:12:46","527-532","","2","29","","Coral Reefs","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/L3MJDDMB/Heinlein et al. - 2010 - Predators reduce abundance and species richness of coral reef fish recruits via non-selective predat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRHHHGWV","bookSection","2021","Holt, Robert D.; Gravel, Dominique; Stier, Adrian; Rosindell, James","On the Interface of Food Webs and Spatial Ecology: The Trophic Dimension of Species–Area Relationships","The Species–Area Relationship","978-1-108-56942-2 978-1-108-47707-9 978-1-108-70187-7","","","https://www.cambridge.org/core/product/identifier/9781108569422%23CN-bp-12/type/book_part","","2021-03-18","2025-09-07 18:12:47","2025-09-07 18:12:47","2025-09-07 18:12:47","289-318","","","","","","On the Interface of Food Webs and Spatial Ecology","","","","","Cambridge University Press","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","DOI: 10.1017/9781108569422.017","","/Users/adrianstiermbp2023/Zotero/storage/P56BDUDQ/Holt et al. - 2021 - On the Interface of Food Webs and Spatial Ecology The Trophic Dimension of Species–Area Relationshi.pdf","","","","Matthews, Thomas J.; Triantis, Kostas A.; Whittaker, Robert J.","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZS5FBF9Y","journalArticle","2019","Ingeman, Kurt E.; Samhouri, Jameal F.; Stier, Adrian C.","Ocean recoveries for tomorrow’s Earth: Hitting a moving target","Science","","0036-8075, 1095-9203","10.1126/science.aav1004","https://www.science.org/doi/10.1126/science.aav1004","Ocean recoveries are moving targets                            As the human population has grown, our demands on the ocean have increased rapidly. These demands have similarly increased the pressure we place on these systems, and we now cause considerable damage globally. If we want to maintain healthy ocean ecosystems into the future, we must learn to use ocean resources in a sustainable way and facilitate recovery in regions that have declined. Determining how to make these goals a reality, however, is no small challenge. Ingeman               et al.               review the challenge presented by attempting both to recover and to use ecosystems simultaneously and discuss several approaches for facilitating this essential dual goal.                                         Science               , this issue p.               eaav1004                        ,                             BACKGROUND               Ocean defaunation and loss of marine ecosystem services present an urgent need to recover degraded ocean ecosystems. Growing scientific awareness, strong regulations, and effective management have begun to fulfill the promise of recovery. Unfortunately, many efforts remain unsuccessful, in part because marine ecosystems and human societies are changing. Rapid shifts in environmental conditions are undermining previously effective recovery strategies. Moreover, divergent perceptions of recovery exist. Efforts toward reversing marine degradation must address the dynamic social-ecological landscape in which recoveries occur, or forever chase a moving target.                                         ADVANCES                                Recovery efforts of tomorrow will require institutional and tactical flexibility to keep pace with a changing ocean, and an inclusive concept of recovery. Further, vital population-level efforts will be most successful when complemented by a broader ecosystem and social-ecological perspective. In this Review, we provide a synthesis of ocean-recovery goals as moving targets and highlight promising steps forward. (i) Society can reenvision a more inclusive definition of recovery by recognizing a multiplicity of recovery goals.                                  While acknowledging the priority of basic conservation imperatives, successful recoveries can encompass a range of outcomes in the space between minimum ecological viability and maximum carrying capacity. (ii) Research can help anticipate future recovery dynamics and identify pathways toward resilient ecosystems.                                  Ongoing advances are improving our ability to predict the effects of environmental change on ocean productivity and to calibrate recovery targets to changing conditions. As a complement to predict-and-prescribe methods, research can also point the way toward robust approaches in the face of irreducible uncertainty. (iii) Policy-makers can embrace nimble approaches to keep pace with change and integrate governance to operate seamlessly from local to regional scales. Future recovery frameworks should enable rapid response to changing conditions and allow fluid coordination among institutions. Such policies will mitigate conflicts between recovery objectives at different spatial scales and better integrate local knowledge and traditional cultural practices around recovery.                                                        OUTLOOK               Application of these principles will help to reshape recovery of marine ecosystems, yet important scientific questions and societal barriers remain. For researchers, interactions among multiple components of environmental change will test the limits of prediction in tomorrow’s ocean. For managers and policy-makers, operationalizing an inclusive definition of recovery organized around social-ecological resilience will prove more challenging than simply recrafting recovery policies with new recovery metrics. Rather, this process will involve designing policies that align incentives for disparate human actors toward coherent recovery goals. Looking ahead, emerging technologies can enable interventions necessary to match the scale of the challenge. It remains possible to recover lost biodiversity in the ocean and to enhance the delivery of marine ecosystem services. Doing so will require a strategic, nuanced, and flexible conceptualization of ocean recoveries that can keep pace with ever-changing physical, ecological, and social environments.                                                   Environmental shifts create moving targets for marine recoveries.                                        (                     A                     to                     D                     ) Since the end of whaling (1), North Atlantic right whales have experienced steady recovery, fueled by abundant copepod prey (2) and aided by vessel speed restrictions and routing human activities away from sensitive habitats (3). Rapid warming has caused reproductive failure by reducing the availability of copepods (4). In 2017, whales followed prey into areas where effective vessel avoidance measures were not in place, substantially increasing mortality from collisions and entanglement (5). Extending vessel restrictions may be effective in reducing mortality. Looking ahead, “rope-less” fishing gear (6) and real-time data sharing (7) offer hope for resuming recovery. Reduced productivity and increased mortality may necessitate recalibrating recovery timelines (8) compared to original projections (9).                                                                      Figure by A. Boersma, alexboersma.com                                       ,              Growing scientific awareness, strong regulations, and effective management have begun to fulfill the promise of recovery in the ocean. However, many efforts toward ocean recovery remain unsuccessful, in part because marine ecosystems and the human societies that depend upon them are constantly changing. Furthermore, recovery efforts are embedded in marine social-ecological systems where large-scale dynamics can inhibit recovery. We argue that the ways forward are to (i) rethink an inclusive definition of recovery that embraces a diversity of stakeholder perspectives about acceptable recovery goals and ecosystem outcomes; (ii) encourage research that enables anticipation of feasible recovery states and identifies pathways toward resilient ecosystems; and (iii) adopt policies that are sufficiently nimble to keep pace with rapid change and governance that works seamlessly from local to regional scales. Application of these principles can facilitate successful recoveries in a world where environmental conditions and social imperatives are constantly shifting.","2019-01-25","2025-09-07 18:12:49","2025-09-07 18:12:49","2025-09-07 18:12:49","eaav1004","","6425","363","","Science","Ocean recoveries for tomorrow’s Earth","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/6QKL9N52/Ingeman et al. - 2019 - Ocean recoveries for tomorrow’s Earth Hitting a moving target.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I39E5NI6","journalArticle","2022","Ingeman, Kurt E.; Zhao, Lily Z.; Wolf, Christopher; Williams, David R.; Ritger, Amelia L.; Ripple, William J.; Kopecky, Kai L.; Dillon, Erin M.; DiFiore, Bartholomew P.; Curtis, Joseph S.; Csik, Samantha R.; Bui, An; Stier, Adrian C.","Glimmers of hope in large carnivore recoveries","Scientific Reports","","2045-2322","10.1038/s41598-022-13671-7","https://www.nature.com/articles/s41598-022-13671-7","Abstract             In the face of an accelerating extinction crisis, scientists must draw insights from successful conservation interventions to uncover promising strategies for reversing broader declines. Here, we synthesize cases of recovery from a list of 362 species of large carnivores, ecologically important species that function as terminal consumers in many ecological contexts. Large carnivores represent critical conservation targets that have experienced historical declines as a result of direct exploitation and habitat loss. We examine taxonomic and geographic variation in current extinction risk and recovery indices, identify conservation actions associated with positive outcomes, and reveal anthropogenic threats linked to ongoing declines. We find that fewer than 10% of global large carnivore populations are increasing, and only 12 species (3.3%) have experienced genuine improvement in extinction risk, mostly limited to recoveries among marine mammals. Recovery is associated with species legislation enacted at national and international levels, and with management of direct exploitation. Conversely, ongoing declines are robustly linked to threats that include habitat modification and human conflict. Applying lessons from cases of large carnivore recovery will be crucial for restoring intact ecosystems and maintaining the services they provide to humans.","2022-07-21","2025-09-07 18:12:50","2025-09-07 18:12:50","2025-09-07 18:12:50","10005","","1","12","","Sci Rep","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/2N2NK9CS/Ingeman et al. - 2022 - Glimmers of hope in large carnivore recoveries.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85FQNC6S","journalArticle","2019","Jerde, Christopher L.; Kraskura, Krista; Eliason, Erika J.; Csik, Samantha R.; Stier, Adrian C.; Taper, Mark L.","Strong Evidence for an Intraspecific Metabolic Scaling Coefficient Near 0.89 in Fish","Frontiers in Physiology","","1664-042X","10.3389/fphys.2019.01166","https://www.frontiersin.org/article/10.3389/fphys.2019.01166/full","As an example of applying the evidential approach to statistical inference, we address one of the longest standing controversies in ecology, the evidence for, or against, a universal metabolic scaling relationship between metabolic rate and body mass. Using ﬁsh as our study taxa, we curated 25 studies with measurements of standard metabolic rate, temperature, and mass, with 55 independent trials and across 16 ﬁsh species and confronted this data with ﬂexible random effects models. To quantify the body mass –metabolic rate relationship, we perform model selection using the Schwarz Information Criteria (1SIC), an established evidence function. Further, we formulate and justify the use of 1SIC intervals to delineate the values of the metabolic scaling relationship that should be retained for further consideration. We found strong evidence for a metabolic scaling coefﬁcient of 0.89 with a 1SIC interval spanning 0.82 to 0.99, implying that mechanistically derived coefﬁcients of 0.67, 0.75, and 1, are not supported by the data. Model selection supports the use of a random intercepts and random slopes by species, consistent with the idea that other factors, such as taxonomy or ecological or lifestyle characteristics, may be critical for discerning the underlying process giving rise to the data. The evidentialist framework applied here, allows for further reﬁnement given additional data and more complex models.","2019-09-20","2025-09-07 18:12:51","2025-09-07 18:12:52","2025-09-07 18:12:51","1166","","","10","","Front. Physiol.","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/8QX372LJ/Jerde et al. - 2019 - Strong Evidence for an Intraspecific Metabolic Scaling Coefficient Near 0.89 in Fish.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWJSTKXJ","journalArticle","2021","Kopecky, Kai L.; Cook, Dana T.; Schmitt, Russell J.; Stier, Adrian C.","Effects of corallivory and coral colony density on coral growth and survival","Coral Reefs","","0722-4028, 1432-0975","10.1007/s00338-021-02076-z","http://link.springer.com/10.1007/s00338-021-02076-z","Abstract                            A suite of processes drive variation in coral populations in space and time, yet our understanding of how variation in coral density affects coral performance is limited. Theory predicts that reductions in density can send coral populations into a predator pit, where concentrated corallivory maintains corals at low densities. In reality, how variation in coral density alters corallivory rates is poorly resolved. Here, we experimentally quantified the effects of corallivory and coral density on growth and survival of small colonies of the staghorn coral               Acropora pulchra               . Our findings suggest that coral density and corallivory have strong but independent effects on coral performance. In the presence of corallivores, corals suffered high but density-independent mortality. When corallivores were excluded, however, vertical extension rates of colonies increased with increasing densities. While we found no evidence for a predator pit, our results suggest that spatio-temporal variation in corallivore and coral densities can fundamentally alter population dynamics via strong effects on juvenile corals.","2021-04","2025-09-07 18:12:53","2025-09-07 18:12:53","2025-09-07 18:12:53","283-288","","2","40","","Coral Reefs","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/TGPLSEDF/Kopecky et al. - 2021 - Effects of corallivory and coral colony density on coral growth and survival.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8UPANRRF","journalArticle","2023","Kopecky, Kai L.; Stier, Adrian C.; Schmitt, Russell J.; Holbrook, Sally J.; Moeller, Holly V.","Material legacies can degrade resilience: Structure‐retaining disturbances promote regime shifts on coral reefs","Ecology","","0012-9658, 1939-9170","10.1002/ecy.4006","https://esajournals.onlinelibrary.wiley.com/doi/10.1002/ecy.4006","Standing dead structures of habitat-forming organisms (e.g., dead trees, coral skeletons, oyster shells) killed by a disturbance are material legacies that can affect ecosystem recovery processes. Many ecosystems are subject to different types of disturbance that either remove biogenic structures or leave them intact. Here we used a mathematical model to quantify how the resilience of coral reef ecosystems may be differentially affected following structure-removing and structure-retaining disturbance events, focusing in particular on the potential for regime shifts from coral to macroalgae. We found that dead coral skeletons could substantially diminish coral resilience if they provided macroalgae refuge from herbivory, a key feedback associated with the recovery of coral populations. Our model shows that the material legacy of dead skeletons broadens the range of herbivore biomass over which coral and macroalgae states are bistable. Hence, material legacies can alter resilience by modifying the underlying relationship between a system driver (herbivory) and a state variable (coral cover).","2023-04","2025-09-07 18:12:54","2025-09-07 18:12:54","2025-09-07 18:12:54","e4006","","4","104","","Ecology","Material legacies can degrade resilience","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/VRXB757T/Kopecky et al. - 2023 - Material legacies can degrade resilience Structure‐retaining disturbances promote regime shifts on.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
